,Tracker ID,TrackerLOC,ParentID,Wiki page,Country,"Subnational unit (province, state)",Unit,Plant,Chinese Name,Other names,Owner,Parent,Capacity (MW),Status,Year,RETIRED,Planned Retire,Combustion technology,Coal type,Coal source,Location,"Local area (taluk, county)","Major area (prefecture, district)",Subregion,Region,Previous Region,Latitude,Longitude,Accuracy,Permits,Captive,Captive industry use,Captive residential use,Alternate Fuel,Heat rate (Btu per kWh),Emission factor (kg of CO2 per TJ),Capacity factor,Annual CO2 (million tonnes / annum),Lifetime CO2,Remaining plant lifetime (years),bws_score,coal_price,Predicted_HR
1012,G105028,L102238,P100282,https://www.gem.wiki/Mahatma_Gandhi_power_station,India,Haryana,Unit 1,Mahatma Gandhi power station,,Jhajjar power station,CLP Power India Pvt Ltd,CLP Group,660.0,operating,2012.0,,,supercritical,bituminous,,Khanpur Kalan and Jhamri,Matanhel,Jhajjar,Southern Asia,Asia,South Asia,28.488143,76.352534,exact,,,,,,9250,"94,600",53%,2.8,84.9,30,5.0,3.24,10.926358239092071
1013,G105029,L102238,P100282,https://www.gem.wiki/Mahatma_Gandhi_power_station,India,Haryana,Unit 2,Mahatma Gandhi power station,,Jhajjar power station,CLP Power India Pvt Ltd,CLP Group,660.0,operating,2012.0,,,supercritical,bituminous,,Khanpur Kalan and Jhamri,Matanhel,Jhajjar,Southern Asia,Asia,South Asia,28.488143,76.352534,exact,,,,,,9250,"94,600",53%,2.8,84.9,30,5.0,3.24,10.926358239092071
1036,G106748,L102415,P101047,https://www.gem.wiki/Mauda_power_station,India,Maharashtra,Unit 3,Mauda power station,,Mouda Super Thermal Power Project,NTPC Ltd,NTPC,660.0,operating,2016.0,,,supercritical,unknown,Mahanadi Coalfields,,Mouda,Nabpur,Southern Asia,Asia,South Asia,21.1807403,79.3965411,exact,EC 30 Dec 2010 at http://bit.ly/1iyG0yi,,,,,8409,"96,100",53%,2.6,88.8,34,2.92075089973715,2.38,10.658107702134195
1037,G106749,L102415,P101047,https://www.gem.wiki/Mauda_power_station,India,Maharashtra,Unit 4,Mauda power station,,Mouda Super Thermal Power Project,NTPC Ltd,NTPC,660.0,operating,2017.0,,,supercritical,unknown,Mahanadi Coalfields,,Mouda,Nabpur,Southern Asia,Asia,South Asia,21.1807403,79.3965411,exact,EC 30 Dec 2010 at http://bit.ly/1iyG0yi,,,,,8409,"96,100",53%,2.6,91.4,35,2.92075089973715,2.38,10.6603682104049
1044,G106821,L102640,Q200287,https://www.gem.wiki/Meja_Thermal_Power_Project,India,Uttar Pradesh,Unit 1,Meja Thermal Power Project,,,Meja Urja Nigam Private Limited (MUNPL),"NTPC, UPRVUNL",660.0,operating,2018.0,,,supercritical,unknown,,Meja,,Allahabad,Southern Asia,Asia,South Asia,25.1458673,81.940096,exact,,,,,,8409,"96,100",53%,2.6,94.1,36,4.56300863433406,2.04,10.586977326219937
1045,G106822,L102640,Q200287,https://www.gem.wiki/Meja_Thermal_Power_Project,India,Uttar Pradesh,Unit 2,Meja Thermal Power Project,,,Meja Urja Nigam Private Limited (MUNPL),"NTPC, UPRVUNL",660.0,operating,2021.0,,,supercritical,unknown,,Meja,,Allahabad,Southern Asia,Asia,South Asia,25.1458673,81.940096,exact,,,,,,8409,"96,100",53%,2.6,101.9,39,4.56300863433406,2.04,10.43421871708468
1071,G106897,L102561,P101450,https://www.gem.wiki/Mettur_Thermal_Power_Station,India,Tamil Nadu,Unit 5,Mettur Thermal Power Station,,,Tamil Nadu Generation & Distribution Corp Ltd,TANGEDCO,600.0,operating,2012.0,,,supercritical,bituminous,,Metturdam,,Salem,Southern Asia,Asia,South Asia,11.7744564,77.8172243,exact,EC 18 Sept 2007 at http://bit.ly/1pOCLr2,,,,,9250,"94,600",53%,2.6,77.2,30,2.74181271267108,3.9,10.997471816663577
1108,G107106,L102217,P100017,https://www.gem.wiki/Mundra_Thermal_Power_Project_(Adani),India,Gujarat,Phase III Unit 5,Mundra Thermal Power Project (Adani),,,Adani Power Ltd,Adani Group,660.0,operating,2010.0,,,supercritical,bituminous,Mahanadi coal fields,Tunda,Mundra,Kutch,Southern Asia,Asia,South Asia,22.8234904,69.5534831,exact,EC 20 May 2010 at http://bit.ly/1h4tOSX,,,,,9250,"94,600",53%,2.8,79.2,28,4.67631704483643,3.7,11.338244748767984
1109,G107107,L102217,P100017,https://www.gem.wiki/Mundra_Thermal_Power_Project_(Adani),India,Gujarat,Phase III Unit 6,Mundra Thermal Power Project (Adani),,,Adani Power Ltd,Adani Group,660.0,operating,2011.0,,,supercritical,bituminous,Mahanadi coal fields,Tunda,Mundra,Kutch,Southern Asia,Asia,South Asia,22.8235448,69.5551568,exact,EC 20 May 2010 at http://bit.ly/1h4tOSX,,,,,9250,"94,600",53%,2.8,82.0,29,4.67631704483643,3.7,11.338244748767984
1110,G107108,L102217,P100017,https://www.gem.wiki/Mundra_Thermal_Power_Project_(Adani),India,Gujarat,Phase IV Unit 7,Mundra Thermal Power Project (Adani),,,Adani Power Ltd,Adani Group,660.0,operating,2011.0,,,supercritical,bituminous,Mahanadi coal fields,Tunda,Mundra,Kutch,Southern Asia,Asia,South Asia,22.8235448,69.5551568,exact,EC 20 May 2010 at http://bit.ly/1h4tOSX,,,,,9250,"94,600",53%,2.8,82.0,29,4.67631704483643,3.7,11.338244748767984
