,Tracker ID,TrackerLOC,ParentID,Wiki page,Country,"Subnational unit (province, state)",Unit,Plant,Chinese Name,Other names,Owner,Parent,Capacity (MW),Status,Year,RETIRED,Planned Retire,Combustion technology,Coal type,Coal source,Location,"Local area (taluk, county)","Major area (prefecture, district)",Subregion,Region,Previous Region,Latitude,Longitude,Accuracy,Permits,Captive,Captive industry use,Captive residential use,Alternate Fuel,Heat rate (Btu per kWh),Emission factor (kg of CO2 per TJ),Capacity factor,Annual CO2 (million tonnes / annum),Lifetime CO2,Remaining plant lifetime (years),bws_score,coal_price,Predicted_HR
1598,G109452,L102185,P101047,https://www.gem.wiki/Sipat_power_station,India,Chhattisgarh,Unit 3,Sipat power station,,Rajiv Gandhi STPS power station,NTPC Ltd,NTPC,660.0,operating,2012.0,,,supercritical,unknown,Domestic,Sipat,,Bilaspur,Southern Asia,Asia,South Asia,22.1316619,82.2903496,exact,,,,,,9250,"96,100",53%,2.9,86.2,30,3.43985463530556,1.59,10.852464704170208
1610,G109490,L102431,P101047,https://www.gem.wiki/Solapur_power_station,India,Maharashtra,Unit 1,Solapur power station,,,NTPC Ltd,NTPC,660.0,operating,2017.0,,,supercritical,unknown,,Fatatewadi & Ahirwadi,South Solarpur,Solarpur,Southern Asia,Asia,South Asia,17.551296,75.9831995,exact,EC 27 Dec 2010 at http://bit.ly/1iyGRz2,,,,,8409,"96,100",53%,2.6,91.4,35,4.94209578433735,2.38,10.6603682104049
1611,G109491,L102431,P101047,https://www.gem.wiki/Solapur_power_station,India,Maharashtra,Unit 2,Solapur power station,,,NTPC Ltd,NTPC,660.0,operating,2019.0,,,supercritical,unknown,,Fatatewadi & Ahirwadi,South Solarpur,Solarpur,Southern Asia,Asia,South Asia,17.551296,75.9831995,exact,EC 27 Dec 2010 at http://bit.ly/1iyGRz2,,,,,8409,"96,100",53%,2.6,96.7,37,4.94209578433735,2.38,10.639498495260014
1619,G109572,L102071,P100066,https://www.gem.wiki/Sri_Damodaram_Sanjeevaiah_Thermal_Power_Station,India,Andhra Pradesh,Unit 1,Sri Damodaram Sanjeevaiah Thermal Power Station,,"Damodaram Sanjeevaiah, Krishnapatnam Supercritical thermal power project",Andhra Pradesh Power Development Co,APGENCO,800.0,operating,2014.0,,,supercritical,bituminous,"70% domestic, 30% imported",Nelaturu,Muttukuru,Nellore,Southern Asia,Asia,South Asia,14.3276045,80.122105,exact,,,,,,8409,"94,600",53%,3.1,99.8,32,4.61612784400043,3.43,10.576020063669436
1620,G109573,L102071,P100066,https://www.gem.wiki/Sri_Damodaram_Sanjeevaiah_Thermal_Power_Station,India,Andhra Pradesh,Unit 2,Sri Damodaram Sanjeevaiah Thermal Power Station,,"Damodaram Sanjeevaiah, Krishnapatnam Supercritical thermal power project",Andhra Pradesh Power Development Co,APGENCO,800.0,operating,2015.0,,,supercritical,bituminous,"70% domestic, 30% imported",Nelaturu,Muttukuru,Nellore,Southern Asia,Asia,South Asia,14.3276045,80.122105,exact,,,,,,8409,"94,600",53%,3.1,102.9,33,4.61612784400043,3.43,10.61989525573959
1621,G109574,L102071,P100066,https://www.gem.wiki/Sri_Damodaram_Sanjeevaiah_Thermal_Power_Station,India,Andhra Pradesh,Unit 3,Sri Damodaram Sanjeevaiah Thermal Power Station,,"Damodaram Sanjeevaiah, Krishnapatnam Supercritical thermal power project",Andhra Pradesh Power Development Co,APGENCO,800.0,operating,2022.0,,,supercritical,unknown,Imported,Nelaturu,Muttukuru,Nellore,Southern Asia,Asia,South Asia,14.3276045,80.122105,exact,TOR 26 Sept 2012 at http://bit.ly/1eLxrhM and http://bit.ly/1eLxGtl; EC 2 July 2015 http://bit.ly/1JAUAmI,,,,,8409,"96,100",53%,3.2,126.7,40,4.61612784400043,3.43,10.373119557830325
1639,G109739,L102534,P101182,https://www.gem.wiki/Suratgarh_Super_Thermal_Power_Station,India,Rajasthan,Unit 7,Suratgarh Super Thermal Power Station,,,Rajasthan RV Utpadan Nigam,Rajasthan RV Utpadan Nigam,660.0,operating,2019.0,,,supercritical,unknown,,Thukrana,Suratgarh,Sri Ganganagar,Southern Asia,Asia,South Asia,29.1611184,74.0191627,exact,EC 23 May 2012 at http://bit.ly/TOQYaP,,,,,8409,"96,100",53%,2.6,96.7,37,4.91066412258822,2.8,10.575761641468805
1640,G109740,L102534,P101182,https://www.gem.wiki/Suratgarh_Super_Thermal_Power_Station,India,Rajasthan,Unit 8,Suratgarh Super Thermal Power Station,,,Rajasthan RV Utpadan Nigam,Rajasthan RV Utpadan Nigam,660.0,operating,2021.0,,,supercritical,unknown,,Thukrana,Suratgarh,Sri Ganganagar,Southern Asia,Asia,South Asia,29.1611184,74.0191627,exact,EC 23 May 2012 at http://bit.ly/TOQYaP,,,,,8409,"96,100",53%,2.6,101.9,39,4.91066412258822,2.8,10.421916985045897
1675,G109904,L102518,P101556,https://www.gem.wiki/Talwandi_Sabo_Power_Project,India,Punjab state,Unit 1,Talwandi Sabo Power Project,,,Sterlite Energy Ltd,Vedanta Resources,660.0,operating,2014.0,,,supercritical,bituminous,,Banawala,Mansa,Mansa,Southern Asia,Asia,South Asia,29.9245796,75.2389294,exact,EC 11 July 2008 at http://bit.ly/1lcPj5R; EC extension 30 Sept 2013 at http://bit.ly/1lcPA94,,,,,8409,"94,600",53%,2.6,82.3,32,5.0,,10.547236002042574
1676,G109905,L102518,P101556,https://www.gem.wiki/Talwandi_Sabo_Power_Project,India,Punjab state,Unit 2,Talwandi Sabo Power Project,,,Sterlite Energy Ltd,Vedanta Resources,660.0,operating,2015.0,,,supercritical,bituminous,,Banawala,Mansa,Mansa,Southern Asia,Asia,South Asia,29.9245796,75.2389294,exact,EC 11 July 2008 at http://bit.ly/1lcPj5R; EC extension 30 Sept 2013 at http://bit.ly/1lcPA94,,,,,8409,"94,600",53%,2.6,84.9,33,5.0,,10.530759564678178
1677,G109906,L102518,P101556,https://www.gem.wiki/Talwandi_Sabo_Power_Project,India,Punjab state,Unit 3,Talwandi Sabo Power Project,,,Sterlite Energy Ltd,Vedanta Resources,660.0,operating,2016.0,,,supercritical,bituminous,,Banawala,Mansa,Mansa,Southern Asia,Asia,South Asia,29.9245796,75.2389294,exact,EC 11 July 2008 at http://bit.ly/1lcPj5R; EC extension 30 Sept 2013 at http://bit.ly/1lcPA94,,,,,8409,"94,600",53%,2.6,87.4,34,5.0,,10.531271579398716
1691,G109924,L102653,P101047,https://www.gem.wiki/Tanda_power_station,India,Uttar Pradesh,Unit 5,Tanda power station,,,NTPC Ltd,NTPC,660.0,operating,2019.0,,,supercritical,unknown,North Karanpura Coalfields,Bahadurgarh,Tanda,Ambedkarnagar,Southern Asia,Asia,South Asia,26.5891987,82.6003754,exact,EC 13 April 2011 at http://bit.ly/1kWGuzY,,,,,8409,"96,100",53%,2.6,96.7,37,4.3960358646564,2.04,10.572828783225592
1692,G109925,L102653,P101047,https://www.gem.wiki/Tanda_power_station,India,Uttar Pradesh,Unit 6,Tanda power station,,,NTPC Ltd,NTPC,660.0,operating,2021.0,,,supercritical,unknown,North Karanpura Coalfields,Bahadurgarh,Tanda,Ambedkarnagar,Southern Asia,Asia,South Asia,26.5891987,82.6003754,exact,EC 13 April 2011 at http://bit.ly/1kWGuzY,,,,,8409,"96,100",53%,2.6,101.9,39,4.3960358646564,2.04,10.43421871708468
1695,G109982,L102230,P101454,https://www.gem.wiki/Tata_Mundra_Ultra_Mega_Power_Project,India,Gujarat,Unit 1,Tata Mundra Ultra Mega Power Project,,,Tata Power Co Ltd,Tata Group,800.0,operating,2012.0,,,supercritical,sub-bit,,Tunda Wand,Mundra,Kutch,Southern Asia,Asia,South Asia,22.8158,69.5281,exact,,,,,,9250,"96,100",53%,3.5,104.5,30,4.67631704483643,3.7,11.167914968649107
1696,G109983,L102230,P101454,https://www.gem.wiki/Tata_Mundra_Ultra_Mega_Power_Project,India,Gujarat,Unit 2,Tata Mundra Ultra Mega Power Project,,,Tata Power Co Ltd,Tata Group,800.0,operating,2012.0,,,supercritical,sub-bit,,Tunda Wand,Mundra,Kutch,Southern Asia,Asia,South Asia,22.8158,69.5281,exact,,,,,,9250,"96,100",53%,3.5,104.5,30,4.67631704483643,3.7,11.167914968649107
1697,G109984,L102230,P101454,https://www.gem.wiki/Tata_Mundra_Ultra_Mega_Power_Project,India,Gujarat,Unit 3,Tata Mundra Ultra Mega Power Project,,,Tata Power Co Ltd,Tata Group,800.0,operating,2012.0,,,supercritical,sub-bit,,Tunda Wand,Mundra,Kutch,Southern Asia,Asia,South Asia,22.8158,69.5281,exact,,,,,,9250,"96,100",53%,3.5,104.5,30,4.67631704483643,3.7,11.167914968649107
1698,G109985,L102230,P101454,https://www.gem.wiki/Tata_Mundra_Ultra_Mega_Power_Project,India,Gujarat,Unit 4,Tata Mundra Ultra Mega Power Project,,,Tata Power Co Ltd,Tata Group,800.0,operating,2013.0,,,supercritical,sub-bit,,Tunda Wand,Mundra,Kutch,Southern Asia,Asia,South Asia,22.8158,69.5281,exact,,,,,,8409,"96,100",53%,3.2,98.2,31,4.67631704483643,3.7,11.167914968649107
1699,G109986,L102230,P101454,https://www.gem.wiki/Tata_Mundra_Ultra_Mega_Power_Project,India,Gujarat,Unit 5,Tata Mundra Ultra Mega Power Project,,,Tata Power Co Ltd,Tata Group,800.0,operating,2013.0,,,supercritical,sub-bit,,Tunda Wand,Mundra,Kutch,Southern Asia,Asia,South Asia,22.8158,69.5281,exact,,,,,,8409,"96,100",53%,3.2,98.2,31,4.67631704483643,3.7,11.167914968649107
1727,G110182,L102432,P100017,https://www.gem.wiki/Tiroda_Thermal_Power_Project,India,Maharashtra,Phase I Unit 1,Tiroda Thermal Power Project,,Tiroda-1 Thermal Power Project Unit 1,Adani Power Ltd,Adani Group,660.0,operating,2012.0,,,supercritical,bituminous,,Tiroda,Tiroda,Gondia,Southern Asia,Asia,South Asia,21.4125018,79.9673098,exact,EC 29 May 2008 at http://bit.ly/1iChtZm,,,,,9250,"94,600",53%,2.8,84.9,30,2.92075089973715,2.38,11.156972038257244
1728,G110183,L102432,P100017,https://www.gem.wiki/Tiroda_Thermal_Power_Project,India,Maharashtra,Phase I Unit 2,Tiroda Thermal Power Project,,Tiroda-1 Thermal Power Project Unit 2,Adani Power Ltd,Adani Group,660.0,operating,2013.0,,,supercritical,bituminous,,Tiroda,Tiroda,Gondia,Southern Asia,Asia,South Asia,21.4125018,79.9673098,exact,EC 29 May 2008 at http://bit.ly/1iChtZm,,,,,8409,"94,600",53%,2.6,79.7,31,2.92075089973715,2.38,11.156972038257244
1729,G110184,L102432,P100017,https://www.gem.wiki/Tiroda_Thermal_Power_Project,India,Maharashtra,Phase II Unit 3,Tiroda Thermal Power Project,,Tiroda-2 Thermal Power Project Unit 1,Adani Power Ltd,Adani Group,660.0,operating,2013.0,,,supercritical,bituminous,Domestic SICL,Tiroda,Tiroda,Gondia,Southern Asia,Asia,South Asia,21.4125018,79.9673098,exact,EC 22 April 2010 at http://bit.ly/1ml4rQC; EC amendment,,,,,8409,"94,600",53%,2.6,79.7,31,2.92075089973715,2.38,11.156972038257244
1730,G110185,L102432,P100017,https://www.gem.wiki/Tiroda_Thermal_Power_Project,India,Maharashtra,Phase III Unit 4,Tiroda Thermal Power Project,,Tiroda-3 Thermal Power Project Unit 1,Adani Power Ltd,Adani Group,660.0,operating,2014.0,,,supercritical,bituminous,Domestic,Tiroda,Tiroda,Gondia,Southern Asia,Asia,South Asia,21.4125018,79.9673098,exact,EC 22 April 2010 at http://bit.ly/1ml4rQC; EC amendment,,,,,8409,"94,600",53%,2.6,82.3,32,2.92075089973715,2.38,10.733663569705072
1731,G110186,L102432,P100017,https://www.gem.wiki/Tiroda_Thermal_Power_Project,India,Maharashtra,Phase III Unit 5,Tiroda Thermal Power Project,,Tiroda-3 Thermal Power Project Unit 2,Adani Power Ltd,Adani Group,660.0,operating,2014.0,,,supercritical,bituminous,Domestic,Tiroda,Tiroda,Gondia,Southern Asia,Asia,South Asia,21.4125018,79.9673098,exact,EC 22 April 2010 at http://bit.ly/1ml4rQC; EC amendment 13 March 2014 at http://bit.ly/1ml4MCD,,,,,8409,"94,600",53%,2.6,82.3,32,2.92075089973715,2.38,10.733663569705072
1771,G110429,L102311,P100017,https://www.gem.wiki/Udupi_power_station,India,Karnataka,Unit 1,Udupi power station,,,Adani Power Ltd,Adani Group,600.0,operating,2010.0,,,supercritical,unknown,,"Padubidri Industrial Area (Yelluru, Santuru, Tenka & Bada villages)",Udupi,Udupi,Southern Asia,Asia,South Asia,13.1596,74.8002,exact,,,,,,9250,"96,100",53%,2.6,73.2,28,1.68902986179148,3.46,10.970799256864947
1772,G110430,L102311,P100017,https://www.gem.wiki/Udupi_power_station,India,Karnataka,Unit 2,Udupi power station,,,Adani Power Ltd,Adani Group,600.0,operating,2011.0,,,supercritical,unknown,,"Padubidri Industrial Area (Yelluru, Santuru, Tenka & Bada villages)",Udupi,Udupi,Southern Asia,Asia,South Asia,13.1596,74.8002,exact,,,,,,9250,"96,100",53%,2.6,75.8,29,1.68902986179148,3.46,10.970799256864947
1851,G110712,L102233,P100576,https://www.gem.wiki/Wanakbori_Thermal_Power_Station,India,Gujarat,Unit 8,Wanakbori Thermal Power Station,,,Gujarat State Electricity Corp Ltd,GSECL,800.0,operating,2019.0,,,supercritical,unknown,,Wanakbori,Thasra,Kheda,Southern Asia,Asia,South Asia,22.8801884,73.3649182,exact,EC granted 12/2/13 at http://bit.ly/1iNwkRW,,,,,8409,"96,100",53%,3.2,117.2,37,4.09303353501502,3.7,10.59794345703963
1883,G111369,L102315,Q200189,https://www.gem.wiki/Yermarus_power_station,India,Karnataka,Unit 1,Yermarus power station,,Vadloor Power Station,Raichur Power Corp Ltd,"BHEL, KPCL",800.0,operating,2016.0,,,supercritical,unknown,,Yermarus,Raichur,Raichur,Southern Asia,Asia,South Asia,16.2952614,77.3561203,exact,EC 11/17/09 at http://bit.ly/1dPvMCQ,,,,,8409,"96,100",53%,3.2,107.7,34,1.88509606322304,3.46,10.506899022949426
1884,G111370,L102315,Q200189,https://www.gem.wiki/Yermarus_power_station,India,Karnataka,Unit 2,Yermarus power station,,Vadloor Power Station,Raichur Power Corp Ltd,"BHEL, KPCL",800.0,operating,2017.0,,,supercritical,unknown,,Yermarus,Raichur,Raichur,Southern Asia,Asia,South Asia,16.2952614,77.3561203,exact,EC 11/17/09 at http://bit.ly/1dPvMCQ,,,,,8409,"96,100",53%,3.2,110.8,35,1.88509606322304,3.46,10.489614111044187
