,Tracker ID,Wiki page,Country,"Subnational unit (province, state)",Unit,Plant,Capacity (MW),Year,Combustion technology,Status,Latitude,Longitude,Heat rate (Btu per kWh),Remaining plant lifetime (years),bws_score,coal_price,Predicted_HR_50.0,Predicted_HR_70.0,Predicted_HR_90.0
930,G105904,https://www.gem.wiki/Kothagudem_Thermal_Power_Station,India,Telangana,Unit 12,Kothagudem Thermal Power Station,800.0,2018.0,supercritical,operating,17.6219,80.69355,8409,36,0.216344043831204,2.04,10.711448597666179,10.64677166358662,10.370576624697556
943,G105986,https://www.gem.wiki/KSK_Mahanadi_Power_Project,India,Chhattisgarh,Unit 1,KSK Mahanadi Power Project,600.0,2013.0,supercritical,operating,21.9602956,82.4090642,8409,31,3.43985463530556,1.59,10.915687235738622,10.791819324745642,10.485146257892389
944,G105987,https://www.gem.wiki/KSK_Mahanadi_Power_Project,India,Chhattisgarh,Unit 2,KSK Mahanadi Power Project,600.0,2014.0,supercritical,operating,21.9602956,82.4090642,8409,32,3.43985463530556,1.59,10.915687235738622,10.791819324745642,10.485146257892389
945,G105988,https://www.gem.wiki/KSK_Mahanadi_Power_Project,India,Chhattisgarh,Unit 3,KSK Mahanadi Power Project,600.0,2018.0,supercritical,operating,21.9602956,82.4090642,8409,36,3.43985463530556,1.59,10.915687235738622,10.791819324745642,10.485146257892389
950,G106008,https://www.gem.wiki/Kudgi_Super_Thermal_Power_Project,India,Karnataka,Unit 1,Kudgi Super Thermal Power Project,800.0,2016.0,supercritical,operating,16.4995461,75.8346319,8409,34,1.97608554581696,3.46,10.760569990043956,10.725976838223772,10.519515788980899
951,G106009,https://www.gem.wiki/Kudgi_Super_Thermal_Power_Project,India,Karnataka,Unit 2,Kudgi Super Thermal Power Project,800.0,2017.0,supercritical,operating,16.4995461,75.8346319,8409,35,1.97608554581696,3.46,10.760569990043956,10.725976838223772,10.519515788980899
952,G106010,https://www.gem.wiki/Kudgi_Super_Thermal_Power_Project,India,Karnataka,Unit 3,Kudgi Super Thermal Power Project,800.0,2018.0,supercritical,operating,16.4995461,75.8346319,8409,36,1.97608554581696,3.46,10.760569990043956,10.725976838223772,10.519515788980899
970,G106128,https://www.gem.wiki/Lalitpur_power_project,India,Uttar Pradesh,Unit 1,Lalitpur power project,660.0,2015.0,supercritical,operating,24.795833,78.646944,8409,33,5.0,2.04,10.8741140775029,10.787028097695412,10.48810045102616
971,G106129,https://www.gem.wiki/Lalitpur_power_project,India,Uttar Pradesh,Unit 2,Lalitpur power project,660.0,2016.0,supercritical,operating,24.795833,78.646944,8409,34,5.0,2.04,10.8741140775029,10.787028097695412,10.48810045102616
972,G106130,https://www.gem.wiki/Lalitpur_power_project,India,Uttar Pradesh,Unit 3,Lalitpur power project,660.0,2016.0,supercritical,operating,24.795833,78.646944,8409,34,5.0,2.04,10.8741140775029,10.787028097695412,10.48810045102616
983,G106174,https://www.gem.wiki/Lara_Integrated_Thermal_Power_Project,India,Chhattisgarh,Unit 1,Lara Integrated Thermal Power Project,800.0,2018.0,supercritical,operating,21.7576613,83.457545,8409,36,1.58139118801547,1.59,10.83491621099697,10.703718236145843,10.415335593255058
984,G106175,https://www.gem.wiki/Lara_Integrated_Thermal_Power_Project,India,Chhattisgarh,Unit 2,Lara Integrated Thermal Power Project,800.0,2020.0,supercritical,operating,21.7576613,83.457545,8409,38,1.58139118801547,1.59,10.83491621099697,10.703718236145843,10.415335593255058
1012,G105028,https://www.gem.wiki/Mahatma_Gandhi_power_station,India,Haryana,Unit 1,Mahatma Gandhi power station,660.0,2012.0,supercritical,operating,28.488143,76.352534,9250,30,5.0,3.24,10.872938946466254,10.798165945097868,10.533135840878552
1013,G105029,https://www.gem.wiki/Mahatma_Gandhi_power_station,India,Haryana,Unit 2,Mahatma Gandhi power station,660.0,2012.0,supercritical,operating,28.488143,76.352534,9250,30,5.0,3.24,10.872938946466254,10.798165945097868,10.533135840878552
1036,G106748,https://www.gem.wiki/Mauda_power_station,India,Maharashtra,Unit 3,Mauda power station,660.0,2016.0,supercritical,operating,21.1807403,79.3965411,8409,34,2.92075089973715,2.38,11.069025316128291,10.966584506121798,10.613269339490813
1037,G106749,https://www.gem.wiki/Mauda_power_station,India,Maharashtra,Unit 4,Mauda power station,660.0,2017.0,supercritical,operating,21.1807403,79.3965411,8409,35,2.92075089973715,2.38,11.069025316128291,10.966584506121798,10.613269339490813
1044,G106821,https://www.gem.wiki/Meja_Thermal_Power_Project,India,Uttar Pradesh,Unit 1,Meja Thermal Power Project,660.0,2018.0,supercritical,operating,25.1458673,81.940096,8409,36,4.56300863433406,2.04,10.8741140775029,10.787028097695412,10.48810045102616
1045,G106822,https://www.gem.wiki/Meja_Thermal_Power_Project,India,Uttar Pradesh,Unit 2,Meja Thermal Power Project,660.0,2021.0,supercritical,operating,25.1458673,81.940096,8409,39,4.56300863433406,2.04,10.8741140775029,10.787028097695412,10.48810045102616
1071,G106897,https://www.gem.wiki/Mettur_Thermal_Power_Station,India,Tamil Nadu,Unit 5,Mettur Thermal Power Station,600.0,2012.0,supercritical,operating,11.7744564,77.8172243,9250,30,2.74181271267108,3.9,11.045211157877732,11.078015960577336,10.57429795382028
1108,G107106,https://www.gem.wiki/Mundra_Thermal_Power_Project_(Adani),India,Gujarat,Phase III Unit 5,Mundra Thermal Power Project (Adani),660.0,2010.0,supercritical,operating,22.8234904,69.5534831,9250,28,4.67631704483643,3.7,11.271378590364835,11.23491209557432,10.656989791469725
1109,G107107,https://www.gem.wiki/Mundra_Thermal_Power_Project_(Adani),India,Gujarat,Phase III Unit 6,Mundra Thermal Power Project (Adani),660.0,2011.0,supercritical,operating,22.8235448,69.5551568,9250,29,4.67631704483643,3.7,11.271378590364835,11.23491209557432,10.656989791469725
1110,G107108,https://www.gem.wiki/Mundra_Thermal_Power_Project_(Adani),India,Gujarat,Phase IV Unit 7,Mundra Thermal Power Project (Adani),660.0,2011.0,supercritical,operating,22.8235448,69.5551568,9250,29,4.67631704483643,3.7,11.271378590364835,11.23491209557432,10.656989791469725
1111,G107109,https://www.gem.wiki/Mundra_Thermal_Power_Project_(Adani),India,Gujarat,Phase IV Unit 8,Mundra Thermal Power Project (Adani),660.0,2012.0,supercritical,operating,22.8235448,69.5574957,9250,30,4.67631704483643,3.7,11.271378590364835,11.23491209557432,10.656989791469725
1112,G107110,https://www.gem.wiki/Mundra_Thermal_Power_Project_(Adani),India,Gujarat,Phase IV Unit 9,Mundra Thermal Power Project (Adani),660.0,2012.0,supercritical,operating,22.8235448,69.5574957,9250,30,4.67631704483643,3.7,11.271378590364835,11.23491209557432,10.656989791469725
1118,G107134,https://www.gem.wiki/Muthukur_Mandal_power_station_(Painampuram),India,Andhra Pradesh,Unit 1,Muthukur Mandal power station (Painampuram),660.0,2016.0,supercritical,operating,14.351195,80.143086,8409,34,4.61612784400043,3.43,10.89892985298174,10.932497522761032,10.575285759102831
