States,Region
Andhra Pradesh,SR
Arunachal Pradesh,NER
Assam,NER
Bihar,ER
Chhattisgarh,WR
Delhi,NR
Goa,WR
Gujarat,WR
Haryana,NR
Himachal Pradesh,NR
Jammu and Kashmir,NR
Jharkhand,ER
Karnataka,SR
Kerala,SR
Madhya Pradesh,WR
Maharashtra,WR
Manipur,NER
Meghalaya,NER
Mizoram,NER
Nagaland,NER
Odisha,ER
Punjab,NR
Rajasthan,NR
Sikkim,ER
Tamil Nadu,SR
Telangana,SR
Tripura,NER
Uttar Pradesh,NR
Uttarakhand,NR
West Bengal,ER
