,Tracker ID,Wiki page,Country,"Subnational unit (province, state)",Unit,Plant,Capacity (MW),Year,Combustion technology,Status,Latitude,Longitude,Heat rate (Btu per kWh),Remaining plant lifetime (years),bws_score,coal_price,Predicted_HR_50.0,Predicted_HR_70.0,Predicted_HR_90.0
49,G100221,https://www.gem.wiki/Angul_Smelter_power_station,India,Odisha,Unit 3,Angul Smelter power station,120.0,1985.0,subcritical,operating,20.84902641,85.19021988,12618,3,1.25523041845347,1.66,13.783718335310265,13.611000009742893,13.398998833727806
50,G100222,https://www.gem.wiki/Angul_Smelter_power_station,India,Odisha,Unit 4,Angul Smelter power station,120.0,1985.0,subcritical,operating,20.84902641,85.19021988,12618,3,1.25523041845347,1.66,13.783718335310265,13.611000009742893,13.398998833727806
51,G100223,https://www.gem.wiki/Angul_Smelter_power_station,India,Odisha,Unit 5,Angul Smelter power station,120.0,1990.0,subcritical,operating,20.84902641,85.19021988,12618,8,1.25523041845347,1.66,13.778848674520455,13.60826299543145,13.40233515033332
52,G100224,https://www.gem.wiki/Angul_Smelter_power_station,India,Odisha,Unit 6,Angul Smelter power station,120.0,1994.0,subcritical,operating,20.84902641,85.19021988,12183,12,1.25523041845347,1.66,13.66677175438361,13.529525627090674,13.366831513295507
53,G100225,https://www.gem.wiki/Angul_Smelter_power_station,India,Odisha,Unit 7,Angul Smelter power station,120.0,2002.0,subcritical,operating,20.84902641,85.19021988,12183,20,1.25523041845347,1.66,13.39675172653129,13.141421660078217,13.117712951426528
54,G100226,https://www.gem.wiki/Angul_Smelter_power_station,India,Odisha,Unit 8,Angul Smelter power station,120.0,2009.0,subcritical,operating,20.84902641,85.19021988,11313,27,1.25523041845347,1.66,13.171693771826126,12.893097114220888,12.978343546616069
55,G100227,https://www.gem.wiki/Angul_Smelter_power_station,India,Odisha,Unit 9,Angul Smelter power station,120.0,2010.0,subcritical,operating,20.84902641,85.19021988,11313,28,1.25523041845347,1.66,13.152384350147658,12.85170524239023,12.915055544336349
56,G100228,https://www.gem.wiki/Angul_Steel_power_station,India,Odisha,Unit 1,Angul Steel power station,135.0,2011.0,subcritical,operating,20.8924742,84.9903899,11313,29,1.25523041845347,1.66,13.060731682611861,12.727227730460315,12.691762440350525
57,G100229,https://www.gem.wiki/Angul_Steel_power_station,India,Odisha,Unit 2,Angul Steel power station,135.0,2012.0,subcritical,operating,20.8924742,84.9903899,11313,30,1.25523041845347,1.66,13.042535943590018,12.709352385549346,12.716396380075162
58,G100230,https://www.gem.wiki/Angul_Steel_power_station,India,Odisha,Unit 3,Angul Steel power station,135.0,2013.0,subcritical,operating,20.8924742,84.9903899,10442,31,1.25523041845347,1.66,13.041239979528072,12.694884369642528,12.663297938625233
