,Tracker ID,Wiki page,Country,"Subnational unit (province, state)",Unit,Plant,Capacity (MW),Year,Combustion technology,Status,Latitude,Longitude,Heat rate (Btu per kWh),Remaining plant lifetime (years),bws_score,coal_price,Predicted_HR_50.0,Predicted_HR_70.0,Predicted_HR_90.0
505,G102512,https://www.gem.wiki/Durgapur_SAIL_power_station,India,West Bengal,Phase 2 Unit 2,Durgapur SAIL power station,60.0,1988.0,subcritical,operating,23.5518052,87.2484754,12618,6,2.17066519258872,1.99,13.962747246464794,13.764437627873448,13.490807783844
506,G102513,https://www.gem.wiki/Durgapur_Steel_City_Andal_power_station,India,West Bengal,Unit 1,Durgapur Steel City Andal power station,500.0,2011.0,subcritical,operating,23.58,87.2043,9572,29,2.17066519258872,1.99,11.44904889849914,11.37277918214778,11.213824886897347
507,G102514,https://www.gem.wiki/Durgapur_Steel_City_Andal_power_station,India,West Bengal,Unit 2,Durgapur Steel City Andal power station,500.0,2012.0,subcritical,operating,23.58,87.2043,9572,30,2.17066519258872,1.99,11.447282171428208,11.370867934468984,11.21108083523641
508,G102547,https://www.gem.wiki/East_Godavari_Mill_power_station,India,Andhra Pradesh,Unit 3,East Godavari Mill power station,34.0,2006.0,subcritical,operating,17.300117,82.614386,11313,24,0.870626778317224,3.43,13.555750647747793,13.202675589542089,13.239225043458141
514,G102627,https://www.gem.wiki/EMCO_Energy_Warora_Power_Project,India,Maharashtra,Unit 1,EMCO Energy Warora Power Project,300.0,2013.0,subcritical,operating,20.2796562,78.9753512,9572,31,3.56604004401945,2.38,12.434740938480045,12.340601112167041,12.197985421748717
515,G102628,https://www.gem.wiki/EMCO_Energy_Warora_Power_Project,India,Maharashtra,Unit 2,EMCO Energy Warora Power Project,300.0,2013.0,subcritical,operating,20.2796562,78.9753512,9572,31,3.56604004401945,2.38,12.434740938480045,12.340601112167041,12.197985421748717
527,G102711,https://www.gem.wiki/Farakka_power_station,India,West Bengal,Unit 1,Farakka power station,200.0,1986.0,subcritical,operating,24.7727289,87.893707,12618,4,0.0,1.99,13.37016133429178,13.212286108932123,13.011494850046141
528,G102712,https://www.gem.wiki/Farakka_power_station,India,West Bengal,Unit 2,Farakka power station,200.0,1986.0,subcritical,operating,24.7727289,87.893707,12618,4,0.0,1.99,13.37016133429178,13.212286108932123,13.011494850046141
529,G102713,https://www.gem.wiki/Farakka_power_station,India,West Bengal,Unit 3,Farakka power station,200.0,1987.0,subcritical,operating,24.7727289,87.893707,12618,5,0.0,1.99,13.359482546273544,13.205727664101186,13.01187576564681
530,G102714,https://www.gem.wiki/Farakka_power_station,India,West Bengal,Unit 4,Farakka power station,500.0,1992.0,subcritical,operating,24.7727289,87.893707,10878,10,0.0,1.99,12.501301071426287,12.362820861109071,12.24158396282376
531,G102715,https://www.gem.wiki/Farakka_power_station,India,West Bengal,Unit 5,Farakka power station,500.0,1994.0,subcritical,operating,24.7727289,87.893707,10442,12,0.0,1.99,12.505884629261718,12.368655044782937,12.245089180402605
532,G102716,https://www.gem.wiki/Farakka_power_station,India,West Bengal,Unit 6,Farakka power station,500.0,2011.0,subcritical,operating,24.7727289,87.893707,9572,29,0.0,1.99,11.453890428706107,11.38279292117183,11.259261393005243
536,G102747,https://www.gem.wiki/Feroze_Gandhi_Unchahar_Power_Station,India,Uttar Pradesh,Unit 1,Feroze Gandhi Unchahar Power Station,210.0,1988.0,subcritical,operating,25.9137597,81.3272384,12618,6,5.0,2.04,13.410441538955157,13.170105443619226,12.880734852995962
537,G102748,https://www.gem.wiki/Feroze_Gandhi_Unchahar_Power_Station,India,Uttar Pradesh,Unit 2,Feroze Gandhi Unchahar Power Station,210.0,1989.0,subcritical,operating,25.9137597,81.3272384,12618,7,5.0,2.04,13.410441538955157,13.170105443619226,12.880734852995962
538,G102749,https://www.gem.wiki/Feroze_Gandhi_Unchahar_Power_Station,India,Uttar Pradesh,Unit 3,Feroze Gandhi Unchahar Power Station,210.0,1999.0,subcritical,operating,25.9137597,81.3272384,12183,17,5.0,2.04,13.178929393457922,12.858759877948714,12.58324544240233
539,G102750,https://www.gem.wiki/Feroze_Gandhi_Unchahar_Power_Station,India,Uttar Pradesh,Unit 4,Feroze Gandhi Unchahar Power Station,210.0,1999.0,subcritical,operating,25.9137597,81.3272384,12183,17,5.0,2.04,13.178929393457922,12.858759877948714,12.58324544240233
540,G102751,https://www.gem.wiki/Feroze_Gandhi_Unchahar_Power_Station,India,Uttar Pradesh,Unit 5,Feroze Gandhi Unchahar Power Station,210.0,2006.0,subcritical,operating,25.9137597,81.3272384,11313,24,5.0,2.04,12.975683043704036,12.634630317447373,12.527427212750714
541,G102752,https://www.gem.wiki/Feroze_Gandhi_Unchahar_Power_Station,India,Uttar Pradesh,Unit 6,Feroze Gandhi Unchahar Power Station,500.0,2017.0,subcritical,operating,25.9122537,81.3206291,8702,35,5.0,2.04,11.352806328367343,11.140701451686711,11.002213615724655
544,G112183,https://www.gem.wiki/Gadarwara_power_station_(BLA),India,Madhya Pradesh,Unit 1,Gadarwara power station (BLA),45.0,2012.0,subcritical,operating,22.9581661,78.7328929,11313,30,4.5939707744536,1.72,13.290082611592293,12.993816018549786,13.067657466244414
545,G112184,https://www.gem.wiki/Gadarwara_power_station_(BLA),India,Madhya Pradesh,Unit 2,Gadarwara power station (BLA),45.0,2019.0,subcritical,operating,22.9581661,78.7328929,10442,37,4.5939707744536,1.72,13.19702157728496,12.884401683225182,12.853180232453782
558,G102919,https://www.gem.wiki/Gandhinagar_Thermal_Power_Station,India,Gujarat,Unit 3,Gandhinagar Thermal Power Station,200.0,1990.0,subcritical,operating,23.2497219,72.6738889,12618,8,5.0,3.7,13.492279453865285,13.26845460503407,13.041408304328018
559,G102920,https://www.gem.wiki/Gandhinagar_Thermal_Power_Station,India,Gujarat,Unit 4,Gandhinagar Thermal Power Station,200.0,1991.0,subcritical,operating,23.2497219,72.6738889,12618,9,5.0,3.7,13.475323084667247,13.232485242136157,13.021913732527326
560,G102921,https://www.gem.wiki/Gandhinagar_Thermal_Power_Station,India,Gujarat,Unit 5,Gandhinagar Thermal Power Station,210.0,1998.0,subcritical,operating,23.2497219,72.6738889,12183,16,5.0,3.7,13.262895137745325,13.027823473388743,12.716276592028446
561,G102923,https://www.gem.wiki/Ganeshpahad_Cement_power_station,India,Telangana,Unit 1,Ganeshpahad Cement power station,38.5,2010.0,subcritical,operating,16.7195833,79.6944502,11313,28,5.0,2.04,13.423935366988736,13.042086895295888,13.018929738495043
562,G102924,https://www.gem.wiki/Ganeshpahad_Cement_power_station,India,Telangana,Unit 2,Ganeshpahad Cement power station,38.5,2010.0,subcritical,operating,16.7195833,79.6944502,11313,28,5.0,2.04,13.423935366988736,13.042086895295888,13.018929738495043
582,G103021,https://www.gem.wiki/Ghugus_power_station,India,Maharashtra,Unit 1,Ghugus power station,60.0,2012.0,subcritical,operating,19.9294895,79.1331589,11313,30,3.56604004401945,2.38,13.312371428657663,13.025945545702857,13.10429242839196
583,G103022,https://www.gem.wiki/Ghugus_power_station,India,Maharashtra,Unit 2,Ghugus power station,60.0,2012.0,subcritical,operating,19.9294895,79.1331589,11313,30,3.56604004401945,2.38,13.312371428657663,13.025945545702857,13.10429242839196
589,G103034,https://www.gem.wiki/Giral_power_station,India,Rajasthan,Unit 1,Giral power station,125.0,2007.0,subcritical,operating,26.0457174,71.2540955,11313,25,4.80457579184447,2.8,13.256058883635047,12.990529639122988,13.045636960853782
590,G103035,https://www.gem.wiki/Giral_power_station,India,Rajasthan,Unit 2,Giral power station,125.0,2009.0,subcritical,operating,26.0457174,71.2540955,11313,27,4.80457579184447,2.8,13.22923201665323,12.957445167255175,12.99374659579061
606,G103073,https://www.gem.wiki/Goindwal_Sahib_Thermal_Power_Plant,India,Punjab state,Unit 1,Goindwal Sahib Thermal Power Plant,270.0,2016.0,subcritical,operating,31.3841396,75.1465032,10442,34,2.61839843889049,,12.283396359039198,11.969387871067408,11.840630417958488
607,G103074,https://www.gem.wiki/Goindwal_Sahib_Thermal_Power_Plant,India,Punjab state,Unit 2,Goindwal Sahib Thermal Power Plant,270.0,2016.0,subcritical,operating,31.3841396,75.1465032,10442,34,2.61839843889049,,12.283396359039198,11.969387871067408,11.840630417958488
626,G103235,https://www.gem.wiki/Gummidipoondi_Kamachi_power_station,India,Tamil Nadu,Unit 1,Gummidipoondi Kamachi power station,35.0,2011.0,subcritical,operating,13.4240182,80.0874567,11313,29,4.61612784400043,3.9,13.450878273666607,13.052593333776208,13.058656834743015
627,G103236,https://www.gem.wiki/Gummidipoondi_Kamachi_power_station,India,Tamil Nadu,Unit 2,Gummidipoondi Kamachi power station,35.0,2012.0,subcritical,operating,13.4240182,80.0874567,11313,30,4.61612784400043,3.9,13.4601062748747,13.06187526246355,13.120170105578277
628,G103237,https://www.gem.wiki/Gummidipoondi_Suryadev_power_station,India,Tamil Nadu,Unit 1,Gummidipoondi Suryadev power station,80.0,2013.0,subcritical,operating,13.3847789,80.1074162,10442,31,4.61612784400043,3.9,13.451957089129778,13.061808966797896,13.10017754093103
629,G103238,https://www.gem.wiki/Gummidipoondi_Suryadev_power_station,India,Tamil Nadu,Unit 2,Gummidipoondi Suryadev power station,80.0,2013.0,subcritical,operating,13.3847789,80.1074162,10442,31,4.61612784400043,3.9,13.451957089129778,13.061808966797896,13.10017754093103
633,G103488,https://www.gem.wiki/Guru_Hargobind_Lehra_Mohabbat_Power_Station,India,Punjab state,Unit 1,Guru Hargobind Lehra Mohabbat Power Station,210.0,1997.0,subcritical,operating,30.26655473,75.16609669,12183,15,5.0,,13.25590563779069,12.993935887777905,12.719161175239611
634,G103489,https://www.gem.wiki/Guru_Hargobind_Lehra_Mohabbat_Power_Station,India,Punjab state,Unit 2,Guru Hargobind Lehra Mohabbat Power Station,210.0,1998.0,subcritical,operating,30.26655473,75.16609669,12183,16,5.0,,13.233906573990705,12.956548932425639,12.671410734100569
635,G103490,https://www.gem.wiki/Guru_Hargobind_Lehra_Mohabbat_Power_Station,India,Punjab state,Unit 3,Guru Hargobind Lehra Mohabbat Power Station,250.0,2008.0,subcritical,operating,30.26655473,75.16609669,11313,26,5.0,,12.48928798653103,12.115723729176192,12.051247802566104
636,G103491,https://www.gem.wiki/Guru_Hargobind_Lehra_Mohabbat_Power_Station,India,Punjab state,Unit 4,Guru Hargobind Lehra Mohabbat Power Station,250.0,2010.0,subcritical,operating,30.26655473,75.16609669,11313,28,5.0,,12.482224350243534,12.114354177122435,12.050551626884772
638,G103561,https://www.gem.wiki/Haldia_Energy_power_station,India,West Bengal,Unit 1,Haldia Energy power station,600.0,2015.0,subcritical,operating,22.060459,88.109748,8702,33,1.32602825539792,1.99,11.124163074709212,10.939578997328416,10.83690554429083
639,G103562,https://www.gem.wiki/Haldia_Energy_power_station,India,West Bengal,Unit 2,Haldia Energy power station,600.0,2015.0,subcritical,operating,22.060459,88.109748,8702,33,1.32602825539792,1.99,11.124163074709212,10.939578997328416,10.83690554429083
649,G103653,https://www.gem.wiki/Harduaganj_power_station,India,Uttar Pradesh,Unit 7,Harduaganj power station,110.0,1978.0,subcritical,operating,28.0175,78.13,12618,5,5.0,2.04,13.75475051054288,13.546849516844066,13.338733024197095
650,G103654,https://www.gem.wiki/Harduaganj_power_station,India,Uttar Pradesh,Unit 8,Harduaganj power station,250.0,2011.0,subcritical,operating,28.0175,78.13,11313,29,5.0,2.04,12.49585999900673,12.1318286995637,12.033685556217394
651,G103655,https://www.gem.wiki/Harduaganj_power_station,India,Uttar Pradesh,Unit 9,Harduaganj power station,250.0,2012.0,subcritical,operating,28.0175,78.13,11313,30,5.0,2.04,12.493220965713165,12.130226209240233,12.031481675007493
654,G103668,https://www.gem.wiki/Hasdeo_Thermal_Power_Station,India,Chhattisgarh,Unit 1,Hasdeo Thermal Power Station,210.0,1983.0,subcritical,operating,22.412536,82.682187,12618,1,2.7491501281515,1.59,13.574415810657472,13.33578244030003,12.99894518964177
655,G103669,https://www.gem.wiki/Hasdeo_Thermal_Power_Station,India,Chhattisgarh,Unit 2,Hasdeo Thermal Power Station,210.0,1984.0,subcritical,operating,22.412536,82.682187,12618,2,2.7491501281515,1.59,13.516374109827966,13.277870009536251,12.99008956818525
656,G103670,https://www.gem.wiki/Hasdeo_Thermal_Power_Station,India,Chhattisgarh,Unit 3,Hasdeo Thermal Power Station,210.0,1985.0,subcritical,operating,22.412536,82.682187,12618,3,2.7491501281515,1.59,13.444897419530031,13.206834273314204,12.914466946416395
657,G103671,https://www.gem.wiki/Hasdeo_Thermal_Power_Station,India,Chhattisgarh,Unit 4,Hasdeo Thermal Power Station,210.0,1986.0,subcritical,operating,22.412536,82.682187,12618,4,2.7491501281515,1.59,13.444897419530031,13.206834273314204,12.914466946416395
658,G103672,https://www.gem.wiki/Hasdeo_Thermal_Power_Station,India,Chhattisgarh,Unit 5,Hasdeo Thermal Power Station,500.0,2013.0,subcritical,operating,22.412536,82.682187,8702,31,2.7491501281515,1.59,11.36837868356743,11.315332190206108,11.15308720897574
661,G112729,https://www.gem.wiki/Hathneora_Captive_Power_Plant,India,Chhattisgarh,Existing Units,Hathneora Captive Power Plant,162.5,,subcritical,operating,22.0035383,82.6689005,12183,20,2.7491501281515,1.59,13.269039060384335,12.949319488650028,12.873232276404535
666,G103701,https://www.gem.wiki/Hazira_power_station_(Essar),India,Gujarat,Unit 1,Hazira power station (Essar),135.0,2015.0,subcritical,operating,21.1190775,72.6405448,10442,33,5.0,3.7,13.149144233288801,12.858371017974111,12.692542252230178
667,G103702,https://www.gem.wiki/Hazira_power_station_(Essar),India,Gujarat,Unit 2,Hazira power station (Essar),135.0,2016.0,subcritical,operating,21.1190775,72.6405448,10442,34,5.0,3.7,13.107178589894605,12.871919655041086,12.685903398942736
668,G113403,https://www.gem.wiki/Hazira_power_station_(Reliance),India,Gujarat,Unit 1,Hazira power station (Reliance),90.0,2016.0,subcritical,operating,21.1592005,72.6871268,10442,34,2.84378166189354,3.7,13.28820640732695,13.059024312893982,12.970092824757232
669,G113404,https://www.gem.wiki/Hazira_power_station_(Reliance),India,Gujarat,Unit 2,Hazira power station (Reliance),90.0,2016.0,subcritical,operating,21.1592005,72.6871268,10442,34,2.84378166189354,3.7,13.28820640732695,13.059024312893982,12.970092824757232
670,G113405,https://www.gem.wiki/Hazira_power_station_(Reliance),India,Gujarat,Unit 3,Hazira power station (Reliance),90.0,2016.0,subcritical,operating,21.1592005,72.6871268,10442,34,2.84378166189354,3.7,13.28820640732695,13.059024312893982,12.970092824757232
671,G113406,https://www.gem.wiki/Hazira_power_station_(Reliance),India,Gujarat,Unit 4,Hazira power station (Reliance),90.0,2016.0,subcritical,operating,21.1592005,72.6871268,10442,34,2.84378166189354,3.7,13.28820640732695,13.059024312893982,12.970092824757232
676,G103889,https://www.gem.wiki/Hirakud_Smelter_power_station,India,Odisha,Unit 1,Hirakud Smelter power station,67.5,1994.0,subcritical,operating,21.5296871,83.9045689,12183,12,0.760878488117139,1.66,13.821035262951467,13.671830171191532,13.44777005220333
677,G103890,https://www.gem.wiki/Hirakud_Smelter_power_station,India,Odisha,Unit 2,Hirakud Smelter power station,100.0,2005.0,subcritical,operating,21.5296871,83.9045689,11313,23,0.760878488117139,1.66,13.449154920718545,13.234429118896148,13.27943977405151
678,G103891,https://www.gem.wiki/Hirakud_Smelter_power_station,India,Odisha,Unit 3,Hirakud Smelter power station,100.0,2006.0,subcritical,operating,21.5296871,83.9045689,11313,24,0.760878488117139,1.66,13.370728584285764,13.089206299676,13.22700992291033
679,G103892,https://www.gem.wiki/Hirakud_Smelter_power_station,India,Odisha,Unit 4,Hirakud Smelter power station,100.0,2008.0,subcritical,operating,21.5296871,83.9045689,11313,26,0.760878488117139,1.66,13.249889222823107,12.961879372260501,13.043036616680808
683,G106636,https://www.gem.wiki/HWP_Manuguru_power_station,India,Telangana,Unit 1,HWP Manuguru power station,30.0,1991.0,subcritical,operating,17.87832,80.848644,12618,9,0.216344043831204,2.04,13.983606840887939,13.72165490537645,13.465926785056066
684,G106637,https://www.gem.wiki/HWP_Manuguru_power_station,India,Telangana,Unit 2,HWP Manuguru power station,30.0,1991.0,subcritical,operating,17.87832,80.848644,12618,9,0.216344043831204,2.04,13.983606840887939,13.72165490537645,13.465926785056066
685,G106638,https://www.gem.wiki/HWP_Manuguru_power_station,India,Telangana,Unit 3,HWP Manuguru power station,30.0,1991.0,subcritical,operating,17.87832,80.848644,12618,9,0.216344043831204,2.04,13.983606840887939,13.72165490537645,13.465926785056066
686,G104815,https://www.gem.wiki/Ib_Valley_Thermal_Power_Station,India,Odisha,Unit 1,Ib Valley Thermal Power Station,210.0,1995.0,subcritical,operating,21.6897827,83.8601567,12183,13,0.430880615155386,1.66,13.227664525211097,13.007892895075083,12.738763514299672
687,G104816,https://www.gem.wiki/Ib_Valley_Thermal_Power_Station,India,Odisha,Unit 2,Ib Valley Thermal Power Station,210.0,1995.0,subcritical,operating,21.6897827,83.8601567,12183,13,0.430880615155386,1.66,13.227664525211097,13.007892895075083,12.738763514299672
695,G104845,https://www.gem.wiki/Indira_Gandhi_Super_Thermal_Power_Project,India,Haryana,Unit 1,Indira Gandhi Super Thermal Power Project,500.0,2010.0,subcritical,operating,28.4850914,76.3731605,9572,28,5.0,3.24,11.704039438160915,11.713704114551916,11.580979594393709
696,G104846,https://www.gem.wiki/Indira_Gandhi_Super_Thermal_Power_Project,India,Haryana,Unit 2,Indira Gandhi Super Thermal Power Project,500.0,2011.0,subcritical,operating,28.4850914,76.3731605,9572,29,5.0,3.24,11.553816232276702,11.562111156643127,11.405893278117668
697,G104847,https://www.gem.wiki/Indira_Gandhi_Super_Thermal_Power_Project,India,Haryana,Unit 3,Indira Gandhi Super Thermal Power Project,500.0,2012.0,subcritical,operating,28.4850914,76.3731605,9572,30,5.0,3.24,11.55109224788788,11.558867391974248,11.403106415364553
714,G104960,https://www.gem.wiki/Jamshedpur_Works_power_station,India,Jharkhand,"Phase 3, Unit 12",Jamshedpur Works power station,30.0,1985.0,subcritical,operating,22.7873676,86.2000878,12618,3,1.6566781298105,1.59,13.956337401106756,13.749585486958361,13.436121908492558
715,G104961,https://www.gem.wiki/Jamshedpur_Works_power_station,India,Jharkhand,"Phase 3, Unit 13",Jamshedpur Works power station,30.0,1985.0,subcritical,operating,22.7873676,86.2000878,12618,3,1.6566781298105,1.59,13.956337401106756,13.749585486958361,13.436121908492558
716,G104962,https://www.gem.wiki/Jamshedpur_Works_power_station,India,Jharkhand,"Phase 3, Unit 14",Jamshedpur Works power station,30.0,1990.0,subcritical,operating,22.7873676,86.2000878,12618,8,1.6566781298105,1.59,13.943988718675355,13.741442963423642,13.43843032789548
734,G105036,https://www.gem.wiki/Jharsuguda_CPP_power_station,India,Odisha,Unit 1,Jharsuguda CPP power station,135.0,2008.0,subcritical,operating,21.7879926,84.0543607,11313,26,0.430880615155386,1.66,13.08227755557159,12.747752759358828,12.748104042779996
735,G105037,https://www.gem.wiki/Jharsuguda_CPP_power_station,India,Odisha,Unit 2,Jharsuguda CPP power station,135.0,2008.0,subcritical,operating,21.7879926,84.0543607,11313,26,0.430880615155386,1.66,13.08227755557159,12.747752759358828,12.748104042779996
736,G105038,https://www.gem.wiki/Jharsuguda_CPP_power_station,India,Odisha,Unit 3,Jharsuguda CPP power station,135.0,2008.0,subcritical,operating,21.7879926,84.0543607,11313,26,0.430880615155386,1.66,13.08227755557159,12.747752759358828,12.748104042779996
737,G105039,https://www.gem.wiki/Jharsuguda_CPP_power_station,India,Odisha,Unit 4,Jharsuguda CPP power station,135.0,2008.0,subcritical,operating,21.7879926,84.0543607,11313,26,0.430880615155386,1.66,13.08227755557159,12.747752759358828,12.748104042779996
738,G105040,https://www.gem.wiki/Jharsuguda_CPP_power_station,India,Odisha,Unit 5,Jharsuguda CPP power station,135.0,2008.0,subcritical,operating,21.7879926,84.0543607,11313,26,0.430880615155386,1.66,13.08227755557159,12.747752759358828,12.748104042779996
739,G105041,https://www.gem.wiki/Jharsuguda_CPP_power_station,India,Odisha,Unit 6,Jharsuguda CPP power station,135.0,2008.0,subcritical,operating,21.7879926,84.0543607,11313,26,0.430880615155386,1.66,13.08227755557159,12.747752759358828,12.748104042779996
740,G105042,https://www.gem.wiki/Jharsuguda_CPP_power_station,India,Odisha,Unit 7,Jharsuguda CPP power station,135.0,2008.0,subcritical,operating,21.7879926,84.0543607,11313,26,0.430880615155386,1.66,13.08227755557159,12.747752759358828,12.748104042779996
741,G105043,https://www.gem.wiki/Jharsuguda_CPP_power_station,India,Odisha,Unit 8,Jharsuguda CPP power station,135.0,2011.0,subcritical,operating,21.7879926,84.0543607,11313,29,0.430880615155386,1.66,13.066084778825726,12.738013535531316,12.698769904990112
742,G105044,https://www.gem.wiki/Jharsuguda_CPP_power_station,India,Odisha,Unit 9,Jharsuguda CPP power station,135.0,2011.0,subcritical,operating,21.7879926,84.0543607,11313,29,0.430880615155386,1.66,13.066084778825726,12.738013535531316,12.698769904990112
743,G105045,https://www.gem.wiki/Jharsuguda_Ind-Barath_power_station,India,Odisha,Phase I Unit 1,Jharsuguda Ind-Barath power station,350.0,2016.0,subcritical,operating,21.6579417,83.9195126,9572,34,0.430880615155386,1.66,11.7450136323226,11.644090094066804,11.469536079642902
746,G105048,https://www.gem.wiki/Jharsuguda_Sterlite_power_station,India,Odisha,Unit 1,Jharsuguda Sterlite power station,600.0,2010.0,subcritical,operating,21.8157426,84.0420359,9572,28,0.430880615155386,1.66,11.398232262217856,11.200317252978799,11.13555939031332
747,G105049,https://www.gem.wiki/Jharsuguda_Sterlite_power_station,India,Odisha,Unit 2,Jharsuguda Sterlite power station,600.0,2010.0,subcritical,operating,21.8157426,84.0420359,9572,28,0.430880615155386,1.66,11.398232262217856,11.200317252978799,11.13555939031332
748,G105050,https://www.gem.wiki/Jharsuguda_Sterlite_power_station,India,Odisha,Unit 3,Jharsuguda Sterlite power station,600.0,2011.0,subcritical,operating,21.8157426,84.0420359,9572,29,0.430880615155386,1.66,11.248993362295973,11.052768260001795,10.953405216992968
749,G105051,https://www.gem.wiki/Jharsuguda_Sterlite_power_station,India,Odisha,Unit 4,Jharsuguda Sterlite power station,600.0,2012.0,subcritical,operating,21.8157426,84.0420359,9572,30,0.430880615155386,1.66,11.25168602318958,11.055671117339267,10.952673465578917
753,G105333,https://www.gem.wiki/Jojobera_Power_Plant,India,Jharkhand,Unit 1,Jojobera Power Plant,67.5,1996.0,subcritical,operating,22.7554,86.2491,12183,14,1.6566781298105,1.59,13.72799139448546,13.526765233187135,13.311205125626566
754,G105334,https://www.gem.wiki/Jojobera_Power_Plant,India,Jharkhand,Unit 2,Jojobera Power Plant,120.0,2000.0,subcritical,operating,22.7554,86.2491,12183,18,1.6566781298105,1.59,13.391898247681079,13.143011407177136,13.071940424959143
755,G105335,https://www.gem.wiki/Jojobera_Power_Plant,India,Jharkhand,Unit 3,Jojobera Power Plant,120.0,2001.0,subcritical,operating,22.7554,86.2491,12183,19,1.6566781298105,1.59,13.365147249222352,13.118216977463542,13.071097945011598
756,G105336,https://www.gem.wiki/Jojobera_Power_Plant,India,Jharkhand,Unit 4,Jojobera Power Plant,120.0,2005.0,subcritical,operating,22.7554,86.2491,11313,23,1.6566781298105,1.59,13.29151208255204,13.065184073446863,13.11256445179482
757,G105337,https://www.gem.wiki/Jojobera_Power_Plant,India,Jharkhand,Unit 5,Jojobera Power Plant,120.0,2011.0,subcritical,operating,22.7554,86.2491,11313,29,1.6566781298105,1.59,13.1207627744532,12.794133646037396,12.849776451882493
758,G105338,https://www.gem.wiki/Jojobera_Power_Plant,India,Jharkhand,Unit 6,Jojobera Power Plant,120.0,2011.0,subcritical,operating,22.7554,86.2491,11313,29,1.6566781298105,1.59,13.1207627744532,12.794133646037396,12.849776451882493
759,G105339,https://www.gem.wiki/Jojobera_Power_Plant,India,Jharkhand,Unit 7,Jojobera Power Plant,120.0,2011.0,subcritical,operating,22.7554,86.2491,11313,29,1.6566781298105,1.59,13.1207627744532,12.794133646037396,12.849776451882493
763,G105368,https://www.gem.wiki/JSW_Barmer_Jalipa_Kapurdi_power_station,India,Rajasthan,Unit 1,JSW Barmer Jalipa Kapurdi power station,135.0,2010.0,subcritical,operating,25.8948022,71.3262764,11313,28,4.80457579184447,2.8,13.12124211041447,12.781334698363787,12.727290777824097
765,G105369,https://www.gem.wiki/JSW_Barmer_Jalipa_Kapurdi_power_station,India,Rajasthan,Unit 2,JSW Barmer Jalipa Kapurdi power station,135.0,2010.0,subcritical,operating,25.89494,71.3256454,11313,28,4.80457579184447,2.8,13.12124211041447,12.781334698363787,12.727290777824097
766,G105370,https://www.gem.wiki/JSW_Barmer_Jalipa_Kapurdi_power_station,India,Rajasthan,Unit 3,JSW Barmer Jalipa Kapurdi power station,135.0,2011.0,subcritical,operating,25.89494,71.3256454,11313,29,4.80457579184447,2.8,13.118557520386338,12.776665335308847,12.689969686318824
767,G105371,https://www.gem.wiki/JSW_Barmer_Jalipa_Kapurdi_power_station,India,Rajasthan,Unit 4,JSW Barmer Jalipa Kapurdi power station,135.0,2011.0,subcritical,operating,25.89494,71.3256454,11313,29,4.80457579184447,2.8,13.118557520386338,12.776665335308847,12.689969686318824
768,G105372,https://www.gem.wiki/JSW_Barmer_Jalipa_Kapurdi_power_station,India,Rajasthan,Unit 5,JSW Barmer Jalipa Kapurdi power station,135.0,2013.0,subcritical,operating,25.89494,71.3256454,10442,31,4.80457579184447,2.8,13.098475029600054,12.730184610708472,12.6448521838228
769,G105373,https://www.gem.wiki/JSW_Barmer_Jalipa_Kapurdi_power_station,India,Rajasthan,Unit 6,JSW Barmer Jalipa Kapurdi power station,135.0,2013.0,subcritical,operating,25.89494,71.3256454,10442,31,4.80457579184447,2.8,13.098475029600054,12.730184610708472,12.6448521838228
770,G105374,https://www.gem.wiki/JSW_Barmer_Jalipa_Kapurdi_power_station,India,Rajasthan,Unit 7,JSW Barmer Jalipa Kapurdi power station,135.0,2013.0,subcritical,operating,25.89494,71.3256454,10442,31,4.80457579184447,2.8,13.098475029600054,12.730184610708472,12.6448521838228
771,G105375,https://www.gem.wiki/JSW_Barmer_Jalipa_Kapurdi_power_station,India,Rajasthan,Unit 8,JSW Barmer Jalipa Kapurdi power station,135.0,2013.0,subcritical,operating,25.89494,71.3256454,10442,31,4.80457579184447,2.8,13.098475029600054,12.730184610708472,12.6448521838228
773,G105377,https://www.gem.wiki/JSW_Tarapur_power_station,India,Maharashtra,Unit 2,JSW Tarapur power station,30.0,2010.0,subcritical,operating,19.7945067,72.7405251,11313,28,2.98050112043147,2.38,13.340814826943351,13.051881404519417,13.073768121890318
777,G105378,https://www.gem.wiki/JSW_Vijayanagar_Toranagallu_power_station,India,Karnataka,Unit 1,JSW Vijayanagar Toranagallu power station,130.0,2000.0,subcritical,operating,15.186771,76.6621387,12183,18,2.96625581567932,3.46,13.55430150504405,13.305137877620945,13.172306003253276
778,G105379,https://www.gem.wiki/JSW_Vijayanagar_Toranagallu_power_station,India,Karnataka,Unit 2,JSW Vijayanagar Toranagallu power station,130.0,2000.0,subcritical,operating,15.186771,76.6621387,12183,18,2.96625581567932,3.46,13.55430150504405,13.305137877620945,13.172306003253276
779,G105380,https://www.gem.wiki/JSW_Vijayanagar_Toranagallu_power_station,India,Karnataka,Unit 3,JSW Vijayanagar Toranagallu power station,300.0,2009.0,subcritical,operating,15.186771,76.6621387,10442,27,2.96625581567932,3.46,12.412605947416793,12.332889625774264,12.302848089799882
780,G105381,https://www.gem.wiki/JSW_Vijayanagar_Toranagallu_power_station,India,Karnataka,Unit 4,JSW Vijayanagar Toranagallu power station,300.0,2009.0,subcritical,operating,15.186771,76.6621387,10442,27,2.96625581567932,3.46,12.412605947416793,12.332889625774264,12.302848089799882
