 year,Latitude,Longitude,Maximum Temperature
2020,14.5,92.5,35.2221
2020,14.5,93.5,35.2228
2020,14.5,94.5,35.2158
2020,14.5,95.5,35.5126
2020,14.5,96.5,35.7052
2020,14.5,97.5,
2020,15.5,67.5,
2020,15.5,68.5,
2020,15.5,69.5,37.8834
2020,15.5,70.5,36.804
2020,15.5,71.5,36.8148
2020,15.5,72.5,36.807
2020,15.5,73.5,36.5535
2020,15.5,74.5,36.467
2020,15.5,75.5,38.5745
2020,15.5,76.5,40.3048
2020,15.5,77.5,43.1481
2020,15.5,78.5,43.3145
2020,15.5,79.5,44.289
2020,15.5,80.5,44.7914
2020,15.5,81.5,37.5641
2020,15.5,82.5,37.2771
2020,15.5,83.5,36.5528
2020,15.5,84.5,36.5535
2020,15.5,85.5,36.3173
2020,15.5,86.5,35.3676
2020,15.5,87.5,
2020,15.5,88.5,
2020,15.5,89.5,
2020,15.5,90.5,35.5124
2020,15.5,91.5,35.5159
2020,15.5,92.5,35.5184
2020,15.5,93.5,35.5186
2020,15.5,94.5,35.5164
2020,15.5,95.5,35.7087
2020,15.5,96.5,
2020,15.5,97.5,
2020,16.5,67.5,
2020,16.5,68.5,
2020,16.5,69.5,36.7911
2020,16.5,70.5,37.7939
2020,16.5,71.5,37.1439
2020,16.5,72.5,37.2583
2020,16.5,73.5,36.655
2020,16.5,74.5,38.3716
2020,16.5,75.5,39.3514
2020,16.5,76.5,43.3628
2020,16.5,77.5,44.1107
2020,16.5,78.5,44.2033
2020,16.5,79.5,44.8621
2020,16.5,80.5,45.0318
2020,16.5,81.5,43.2104
2020,16.5,82.5,37.4065
2020,16.5,83.5,36.5581
2020,16.5,84.5,36.3161
2020,16.5,85.5,35.3639
2020,16.5,86.5,35.3657
2020,16.5,87.5,35.0283
2020,16.5,88.5,33.876
2020,16.5,89.5,
2020,16.5,90.5,
2020,16.5,91.5,35.7106
2020,16.5,92.5,35.7116
2020,16.5,93.5,35.7114
2020,16.5,94.5,35.7103
2020,16.5,95.5,
2020,16.5,96.5,
2020,16.5,97.5,
2020,17.5,67.5,
2020,17.5,68.5,38.8889
2020,17.5,69.5,36.6024
2020,17.5,70.5,36.4952
2020,17.5,71.5,36.5012
2020,17.5,72.5,34.9313
2020,17.5,73.5,35.7701
2020,17.5,74.5,39.6586
2020,17.5,75.5,43.0394
2020,17.5,76.5,43.3995
2020,17.5,77.5,43.5221
2020,17.5,78.5,43.4969
2020,17.5,79.5,44.4804
2020,17.5,80.5,44.9545
2020,17.5,81.5,42.5384
2020,17.5,82.5,40.1557
2020,17.5,83.5,36.3203
2020,17.5,84.5,35.3555
2020,17.5,85.5,35.3599
2020,17.5,86.5,35.033
2020,17.5,87.5,35.0042
2020,17.5,88.5,35.0301
2020,17.5,89.5,35.0286
2020,17.5,90.5,
2020,17.5,91.5,
2020,17.5,92.5,
2020,17.5,93.5,
2020,17.5,94.5,
2020,17.5,95.5,
2020,17.5,96.5,
2020,17.5,97.5,
2020,18.5,67.5,38.8312
2020,18.5,68.5,38.8359
2020,18.5,69.5,38.8948
2020,18.5,70.5,36.6933
2020,18.5,71.5,36.103
2020,18.5,72.5,38.2206
2020,18.5,73.5,39.438
2020,18.5,74.5,41.166
2020,18.5,75.5,43.2547
2020,18.5,76.5,44.7188
2020,18.5,77.5,44.193
2020,18.5,78.5,44.3678
2020,18.5,79.5,44.5684
2020,18.5,80.5,42.558
2020,18.5,81.5,41.3901
2020,18.5,82.5,36.4822
2020,18.5,83.5,37.7909
2020,18.5,84.5,35.3474
2020,18.5,85.5,35.296
2020,18.5,86.5,35.0013
2020,18.5,87.5,36.6307
2020,18.5,88.5,35.0265
2020,18.5,89.5,34.8973
2020,18.5,90.5,34.5101
2020,18.5,91.5,
2020,18.5,92.5,
2020,18.5,93.5,
2020,18.5,94.5,
2020,18.5,95.5,
2020,18.5,96.5,
2020,18.5,97.5,
2020,19.5,67.5,38.1735
2020,19.5,68.5,38.8533
2020,19.5,69.5,39.4759
2020,19.5,70.5,38.8754
2020,19.5,71.5,36.4238
2020,19.5,72.5,36.1031
2020,19.5,73.5,37.789
2020,19.5,74.5,41.07
2020,19.5,75.5,42.825
2020,19.5,76.5,43
2020,19.5,77.5,45.9436
2020,19.5,78.5,45.6311
2020,19.5,79.5,45.7194
2020,19.5,80.5,42.6124
2020,19.5,81.5,40.881
2020,19.5,82.5,41.4864
2020,19.5,83.5,44.0984
2020,19.5,84.5,35.5077
2020,19.5,85.5,36.5289
2020,19.5,86.5,36.4938
2020,19.5,87.5,35.0454
2020,19.5,88.5,34.7813
2020,19.5,89.5,34.198
2020,19.5,90.5,35.5051
2020,19.5,91.5,35.5182
2020,19.5,92.5,
2020,19.5,93.5,
2020,19.5,94.5,
2020,19.5,95.5,
2020,19.5,96.5,
2020,19.5,97.5,
2020,20.5,67.5,36.312
2020,20.5,68.5,38.1913
2020,20.5,69.5,38.9073
2020,20.5,70.5,39.9578
2020,20.5,71.5,39.8559
2020,20.5,72.5,39.6683
2020,20.5,73.5,39.2545
2020,20.5,74.5,41.6835
2020,20.5,75.5,43.4009
2020,20.5,76.5,45.0651
2020,20.5,77.5,46.6728
2020,20.5,78.5,46.1791
2020,20.5,79.5,46.2382
2020,20.5,80.5,45.838
2020,20.5,81.5,43.925
2020,20.5,82.5,45.0749
2020,20.5,83.5,44.1025
2020,20.5,84.5,43.2397
2020,20.5,85.5,38.8258
2020,20.5,86.5,38.4757
2020,20.5,87.5,35.7291
2020,20.5,88.5,34.8552
2020,20.5,89.5,35.5012
2020,20.5,90.5,35.9418
2020,20.5,91.5,35.969
2020,20.5,92.5,36.8548
