Tracker ID,TrackerLOC,ParentID,Wiki page,Country,"Subnational unit (province, state)",Unit,Plant,Chinese Name,Other names,Owner,Parent,Capacity (MW),Status,Year,RETIRED,Planned Retire,Combustion technology,Coal type,Coal source,Location,"Local area (taluk, county)","Major area (prefecture, district)",Subregion,Region,Previous Region,Latitude,Longitude,Accuracy,Permits,Captive,Captive industry use,Captive residential use,Alternate Fuel,Heat rate (Btu per kWh),Emission factor (kg of CO2 per TJ),Capacity factor,Annual CO2 (million tonnes / annum),Lifetime CO2,Remaining plant lifetime (years)
G102900,L102461,P101135,https://www.gem.wiki/Gajamara_Ultra_Mega_Power_Project,India,Odisha,,Gajamara Ultra Mega Power Project,,,Power Finance Corporation,Power Finance Corporation,4000,cancelled,,,,unknown,unknown,,Gajamara,Kantamal,Boudh,Southern Asia,Asia,South Asia,20.833,84.333,approximate,,,,,,8605,"96,100",53%,16.2,648.1,40
G102901,L102462,P101047,https://www.gem.wiki/Gajmara_Super_Thermal_Power_Station,India,Odisha,Unit 1,Gajmara Super Thermal Power Station,,,NTPC Ltd,NTPC,800,cancelled,,,,supercritical,unknown,,Gajmara,,Dhenkanal,Southern Asia,Asia,South Asia,20.65616,85.604263,approximate,,,,,,8409,"96,100",53%,3.2,126.7,40
G102902,L102462,P101047,https://www.gem.wiki/Gajmara_Super_Thermal_Power_Station,India,Odisha,Unit 2,Gajmara Super Thermal Power Station,,,NTPC Ltd,NTPC,800,cancelled,,,,supercritical,unknown,,Gajmara,,Dhenkanal,Southern Asia,Asia,South Asia,20.65616,85.604263,approximate,,,,,,8409,"96,100",53%,3.2,126.7,40
G102917,L102207,P100576,https://www.gem.wiki/Gandhinagar_Thermal_Power_Station,India,Gujarat,Unit 1,Gandhinagar Thermal Power Station,,,Gujarat State Electricity Corp Ltd,GSECL,120,retired,1977,2017,,subcritical,bituminous,,Gandhinagar,Gandhinagar,Gandhinagar,Southern Asia,Asia,South Asia,23.2497219,72.6738889,exact,,,,,,12618,"94,600",53%,0.7,0,0
G102918,L102207,P100576,https://www.gem.wiki/Gandhinagar_Thermal_Power_Station,India,Gujarat,Unit 2,Gandhinagar Thermal Power Station,,,Gujarat State Electricity Corp Ltd,GSECL,120,retired,1977,2017,,subcritical,bituminous,,Gandhinagar,Gandhinagar,Gandhinagar,Southern Asia,Asia,South Asia,23.2497219,72.6738889,exact,,,,,,12618,"94,600",53%,0.7,0,0
G102919,L102207,P100576,https://www.gem.wiki/Gandhinagar_Thermal_Power_Station,India,Gujarat,Unit 3,Gandhinagar Thermal Power Station,,,Gujarat State Electricity Corp Ltd,GSECL,200,operating,1990,,,subcritical,bituminous,,Gandhinagar,Gandhinagar,Gandhinagar,Southern Asia,Asia,South Asia,23.2497219,72.6738889,exact,,,,,,12618,"94,600",53%,1.2,9.4,8
G102920,L102207,P100576,https://www.gem.wiki/Gandhinagar_Thermal_Power_Station,India,Gujarat,Unit 4,Gandhinagar Thermal Power Station,,,Gujarat State Electricity Corp Ltd,GSECL,200,operating,1991,,,subcritical,bituminous,,Gandhinagar,Gandhinagar,Gandhinagar,Southern Asia,Asia,South Asia,23.2497219,72.6738889,exact,,,,,,12618,"94,600",53%,1.2,10.5,9
G102921,L102207,P100576,https://www.gem.wiki/Gandhinagar_Thermal_Power_Station,India,Gujarat,Unit 5,Gandhinagar Thermal Power Station,,,Gujarat State Electricity Corp Ltd,GSECL,210,operating,1998,,,subcritical,bituminous,,Gandhinagar,Gandhinagar,Gandhinagar,Southern Asia,Asia,South Asia,23.2497219,72.6738889,exact,,,,,,12183,"94,600",53%,1.2,19,16
G102923,L102593,P101104,https://www.gem.wiki/Ganeshpahad_Cement_power_station,India,Telangana,Unit 1,Ganeshpahad Cement power station,,,Penna Cement Industries Ltd,Penna Cement Industries Ltd,38.5,operating,2010,,,subcritical,unknown,,Damarchela,,Nalgonda,Southern Asia,Asia,South Asia,16.7195833,79.6944502,exact,,cement & building,power,power,,11313,"96,100",53%,0.2,5.7,28
G102924,L102593,P101104,https://www.gem.wiki/Ganeshpahad_Cement_power_station,India,Telangana,Unit 2,Ganeshpahad Cement power station,,,Penna Cement Industries Ltd,Penna Cement Industries Ltd,38.5,operating,2010,,,subcritical,unknown,,Damarchela,,Nalgonda,Southern Asia,Asia,South Asia,16.7195833,79.6944502,exact,,cement & building,power,power,,11313,"96,100",53%,0.2,5.7,28
G102899,L104900,P100019,https://www.gem.wiki/Ganga_captive_power_station,India,Jharkhand,,Ganga captive power station,,,Gagan Power & Natural Resources,Adhunik Group,1320,cancelled,,,,unknown,unknown,,Saraidaha & Mohulpahari,Shikaripara & Raneshwar,Dumka,Southern Asia,Asia,South Asia,24.2386,87.475582,approximate,TOR 11 Feb 2010 at http://bit.ly/1thL1jQ,,,,,8605,"96,100",53%,5.3,213.9,40
G102927,L102463,P101397,https://www.gem.wiki/Ganjam_power_station,India,Odisha,Unit 1,Ganjam power station,,,SPR Infrastructure India,SPR Infrastructure India,660,cancelled,,,,supercritical,unknown,40% imported 60% indigenous,,,Ganjam,Southern Asia,Asia,South Asia,19.384291,85.056358,approximate,,,,,,8409,"96,100",53%,2.6,104.5,40
G102928,L102463,P101397,https://www.gem.wiki/Ganjam_power_station,India,Odisha,Unit 2,Ganjam power station,,,SPR Infrastructure India,SPR Infrastructure India,660,cancelled,,,,supercritical,unknown,40% imported 60% indigenous,,,Ganjam,Southern Asia,Asia,South Asia,19.384291,85.056358,approximate,,,,,,8409,"96,100",53%,2.6,104.5,40
G102951,L102333,P101193,https://www.gem.wiki/Garadiatola_power_station,India,Madhya Pradesh,Unit 1,Garadiatola power station,,,Reliable Thermal Power,Reliable Thermal Power,660,cancelled,,,,supercritical,unknown,,,Garadiatola,Umaria,Southern Asia,Asia,South Asia,23.525881,80.840683,approximate,,,,,,8409,"96,100",53%,2.6,104.5,40
G102952,L102333,P101193,https://www.gem.wiki/Garadiatola_power_station,India,Madhya Pradesh,Unit 2,Garadiatola power station,,,Reliable Thermal Power,Reliable Thermal Power,660,cancelled,,,,supercritical,unknown,,,Garadiatola,Umaria,Southern Asia,Asia,South Asia,23.525881,80.840683,approximate,,,,,,8409,"96,100",53%,2.6,104.5,40
G102953,L102144,P100911,https://www.gem.wiki/Gare_Pelma_power_station,India,Chhattisgarh,Unit 1,Gare Pelma power station,,,Maharashtra State,Maharashtra State,660,cancelled,,,,subcritical,bituminous,Gare Pelma Sector II Coal Block,"Gharghoda, Jhariapali, Charbhanta, Barpali, Nawapara",Gharghoda and Tamnar,Raigarh,Southern Asia,Asia,South Asia,22.1525,83.352778,exact,ToR issued on 7 May 2014 at http://bit.ly/1LYwS6I,,,,,8702,"94,600",53%,2.7,106.5,40
G113381,L102144,P100911,https://www.gem.wiki/Gare_Pelma_power_station,India,Chhattisgarh,Unit 2,Gare Pelma power station,,,Maharashtra State,Maharashtra State,660,cancelled,,,,subcritical,bituminous,Gare Pelma Sector II Coal Block,"Gharghoda, Jhariapali, Charbhanta, Barpali, Nawapara",Gharghoda and Tamnar,Raigarh,Southern Asia,Asia,South Asia,22.1525,83.352778,exact,ToR issued on 7 May 2014 at http://bit.ly/1LYwS6I,,,,,8702,"94,600",53%,2.7,106.5,40
G113382,L102144,P100911,https://www.gem.wiki/Gare_Pelma_power_station,India,Chhattisgarh,Unit 3,Gare Pelma power station,,,Maharashtra State,Maharashtra State,660,cancelled,,,,subcritical,bituminous,Gare Pelma Sector II Coal Block,"Gharghoda, Jhariapali, Charbhanta, Barpali, Nawapara",Gharghoda and Tamnar,Raigarh,Southern Asia,Asia,South Asia,22.1525,83.352778,exact,ToR issued on 7 May 2014 at http://bit.ly/1LYwS6I,,,,,8702,"94,600",53%,2.7,106.5,40
G113383,L102144,P100911,https://www.gem.wiki/Gare_Pelma_power_station,India,Chhattisgarh,Unit 4,Gare Pelma power station,,,Maharashtra State,Maharashtra State,660,cancelled,,,,subcritical,bituminous,Gare Pelma Sector II Coal Block,"Gharghoda, Jhariapali, Charbhanta, Barpali, Nawapara",Gharghoda and Tamnar,Raigarh,Southern Asia,Asia,South Asia,22.1525,83.352778,exact,ToR issued on 7 May 2014 at http://bit.ly/1LYwS6I,,,,,8702,"94,600",53%,2.7,106.5,40
G102954,L102439,P101005,https://www.gem.wiki/Garo_Hills_power_station,India,Meghalaya,,Garo Hills power station,,,North Eastern Electric Power,NEEPCO,500,cancelled,,,,subcritical,unknown,,Darugiri,,South Garo Hills,Southern Asia,Asia,South Asia,25.49546,90.61682,approximate,,,,,,8702,"96,100",53%,2,81.9,40
G102962,L102627,P100527,https://www.gem.wiki/Gayatree_power_station,India,Uttar Pradesh,Unit 1,Gayatree power station,,,Gayatri Projects,Gayatri Projects,660,cancelled,,,,supercritical,unknown,,,Etah,Etah,Southern Asia,Asia,South Asia,27.63,78.67,approximate,,,,,,8409,"96,100",53%,2.6,104.5,40
G102963,L102627,P100527,https://www.gem.wiki/Gayatree_power_station,India,Uttar Pradesh,Unit 2,Gayatree power station,,,Gayatri Projects,Gayatri Projects,660,cancelled,,,,supercritical,unknown,,,Etah,Etah,Southern Asia,Asia,South Asia,27.63,78.67,approximate,,,,,,8409,"96,100",53%,2.6,104.5,40
G103009,L102628,Q200284,https://www.gem.wiki/Ghatampur_power_station,India,Uttar Pradesh,Unit 1,Ghatampur power station,,,Neyveli Uttar Pradesh Power,NLC India [51%]; UPRVUNL [49%],660,construction,2023,,,supercritical,lignite/bituminous,"Pachwara-South Block, Dumka district, Jharkhand","Bagariya, Rampur, Bandh, Sidhaul, Lahurimau, Answer-Mau, Dharchhua and Sirsa",Ghatampur,Kanpur Nagar,Southern Asia,Asia,South Asia,25.975,80.1889,exact,TOR 28 Dec 2012 at http://bit.ly/UpGnTK; EC 17 June 2015 at http://bit.ly/1Me3dq7,,,,,8409,"97,800",53%,2.7,106.4,40
G103010,L102628,Q200284,https://www.gem.wiki/Ghatampur_power_station,India,Uttar Pradesh,Unit 2,Ghatampur power station,,,Neyveli Uttar Pradesh Power,NLC India [51%]; UPRVUNL [49%],660,construction,2023,,,supercritical,lignite/bituminous,"Pachwara-South Block, Dumka district, Jharkhand","Bagariya, Rampur, Bandh, Sidhaul, Lahurimau, Answer-Mau, Dharchhua and Sirsa",Ghatampur,Kanpur Nagar,Southern Asia,Asia,South Asia,25.975,80.1889,exact,TOR 28 Dec 2012 at http://bit.ly/UpGnTK; EC 17 June 2015 at http://bit.ly/1Me3dq7,,,,,8409,"97,800",53%,2.7,106.4,40
G103011,L102628,Q200284,https://www.gem.wiki/Ghatampur_power_station,India,Uttar Pradesh,Unit 3,Ghatampur power station,,,Neyveli Uttar Pradesh Power,NLC India [51%]; UPRVUNL [49%],660,construction,2023,,,supercritical,lignite/bituminous,"Pachwara-South Block, Dumka district, Jharkhand","Bagariya, Rampur, Bandh, Sidhaul, Lahurimau, Answer-Mau, Dharchhua and Sirsa",Ghatampur,Kanpur Nagar,Southern Asia,Asia,South Asia,25.975,80.1889,exact,TOR 28 Dec 2012 at http://bit.ly/UpGnTK; EC 17 June 2015 at http://bit.ly/1Me3dq7,,,,,8409,"97,800",53%,2.7,106.4,40
G103012,L102297,P101099,https://www.gem.wiki/Ghataprabha_power_station,India,Karnataka,Unit 1,Ghataprabha power station,,,Power Company of Karnataka,PCKL,660,cancelled,,,,supercritical,unknown,,Vantamuri,Hukkeri,Belgaum,Southern Asia,Asia,South Asia,16.23,74.6,approximate,,,,,,8409,"96,100",53%,2.6,104.5,40
G103013,L102297,P101099,https://www.gem.wiki/Ghataprabha_power_station,India,Karnataka,Unit 2,Ghataprabha power station,,,Power Company of Karnataka,PCKL,660,cancelled,,,,supercritical,unknown,,Vantamuri,Hukkeri,Belgaum,Southern Asia,Asia,South Asia,16.23,74.6,approximate,,,,,,8409,"96,100",53%,2.6,104.5,40
G103019,L102464,P101135,https://www.gem.wiki/Ghogarpalli_Ultra_Mega_Power_Project,India,Odisha,,Ghogarpalli Ultra Mega Power Project,,,Ghogarpalli Integrated Power Limited,Power Finance Corporation,4000,cancelled,,,,unknown,unknown,,Ghogarpalli,,,Southern Asia,Asia,South Asia,20.083,83.2,approximate,,,,,,8605,"96,100",53%,16.2,648.1,40
G103020,L102402,P100607,https://www.gem.wiki/Ghugus_power_station,India,Maharashtra,Phase II,Ghugus power station,,Chandrapur Gupta power station,Gupta Energy Pvt Ltd,Gupta Group,540,cancelled,,,,subcritical,wstbituminous,,Usegaon,Chandrapur,Chandrapur,Southern Asia,Asia,South Asia,19.9294895,79.1331589,exact,TOR 11 Feb 2010 at http://bit.ly/1jQt4SE,,,,,8702,"94,600",53%,2.2,87.1,40
G103021,L102402,P100607,https://www.gem.wiki/Ghugus_power_station,India,Maharashtra,Unit 1,Ghugus power station,,Chandrapur Gupta power station,Gupta Energy Pvt Ltd,Gupta Group,60,operating,2012,,,subcritical,wstbituminous,,Usegaon,Chandrapur,Chandrapur,Southern Asia,Asia,South Asia,19.9294895,79.1331589,exact,EC 4 Sept 2008 at http://bit.ly/1r6SMqy,,,,,11313,"94,600",53%,0.3,9.4,30
G103022,L102402,P100607,https://www.gem.wiki/Ghugus_power_station,India,Maharashtra,Unit 2,Ghugus power station,,Chandrapur Gupta power station,Gupta Energy Pvt Ltd,Gupta Group,60,operating,2012,,,subcritical,wstbituminous,,Usegaon,Chandrapur,Chandrapur,Southern Asia,Asia,South Asia,19.9294895,79.1331589,exact,EC 4 Sept 2008 at http://bit.ly/1r6SMqy,,,,,11313,"94,600",53%,0.3,9.4,30
G103023,L102334,P101562,https://www.gem.wiki/Ghuman_power_station_(Prosperous_Energy),India,Madhya Pradesh,Unit 1,Ghuman power station (Prosperous Energy),,,Prosperous Energy,Videocon Industries,600,cancelled,,,,unknown,unknown,Indian Coal from South Eastern Coalfields Limited/Mahanadi Coalfields; Limited through railway or Blending with Imported Coal in the ratio of 50:49,Ghuman,Jawa,Rewa,Southern Asia,Asia,South Asia,24.963897,81.490368,approximate,TOR 28 Dec 2011 at http://bit.ly/P6fEsT,,,,,8605,"96,100",53%,2.4,97.2,40
G103024,L102334,P101562,https://www.gem.wiki/Ghuman_power_station_(Prosperous_Energy),India,Madhya Pradesh,Unit 2,Ghuman power station (Prosperous Energy),,,Prosperous Energy,Videocon Industries,600,cancelled,,,,unknown,unknown,Indian Coal from South Eastern Coalfields Limited/Mahanadi Coalfields; Limited through railway or Blending with Imported Coal in the ratio of 50:50,Ghuman,Jawa,Rewa,Southern Asia,Asia,South Asia,24.963897,81.490368,approximate,TOR 28 Dec 2011 at http://bit.ly/P6fEsT,,,,,8605,"96,100",53%,2.4,97.2,40
G103025,L102335,P101193,https://www.gem.wiki/Ghuman/Tilaun_power_station_(Reliable_Thermal),India,Madhya Pradesh,Unit 1,Ghuman/Tilaun power station (Reliable Thermal),,,Reliable Thermal Power,Reliable Thermal Power,660,cancelled,,,,unknown,unknown,NCL coal mines,"Ghuman, Tilaun",Jawa,Rewa,Southern Asia,Asia,South Asia,24.963897,81.490368,approximate,TOR 27 April 2011 at http://bit.ly/1cEdZ8h,,,,,8605,"96,100",53%,2.7,106.9,40
G103026,L102335,P101193,https://www.gem.wiki/Ghuman/Tilaun_power_station_(Reliable_Thermal),India,Madhya Pradesh,Unit 2,Ghuman/Tilaun power station (Reliable Thermal),,,Reliable Thermal Power,Reliable Thermal Power,660,cancelled,,,,unknown,unknown,NCL coal mines,"Ghuman, Tilaun",Jawa,Rewa,Southern Asia,Asia,South Asia,24.963897,81.490368,approximate,TOR 27 April 2011 at http://bit.ly/1cEdZ8h,,,,,8605,"96,100",53%,2.7,106.9,40
G103033,L102508,P101149,https://www.gem.wiki/Gidderbaha_power_station,India,Punjab state,,Gidderbaha power station,,,Punjab State Power Corp Ltd,PSPCL,2640,cancelled,,,,supercritical,unknown,,"Ghagga, Theri and Babania",,Muktsar,Southern Asia,Asia,South Asia,30.0208,76.1025,approximate,,,,,,8409,"96,100",53%,10.5,418,40
G103034,L102525,P101182,https://www.gem.wiki/Giral_power_station,India,Rajasthan,Unit 1,Giral power station,,,Rajasthan RV Utpadan Nigam,Rajasthan RV Utpadan Nigam,125,operating,2007,,,subcritical,lignite,,Giral,Sheo,Barmer,Southern Asia,Asia,South Asia,26.0457174,71.2540955,exact,,,,,,11313,"101,000",53%,0.7,17.5,25
G103035,L102525,P101182,https://www.gem.wiki/Giral_power_station,India,Rajasthan,Unit 2,Giral power station,,,Rajasthan RV Utpadan Nigam,Rajasthan RV Utpadan Nigam,125,operating,2009,,,subcritical,lignite,,Giral,Sheo,Barmer,Southern Asia,Asia,South Asia,26.0457174,71.2540955,exact,,,,,,11313,"101,000",53%,0.7,18.9,27
G103036,L102403,P101135,https://www.gem.wiki/Girye_Ultra_Mega_Power_Project,India,Maharashtra,,Girye Ultra Mega Power Project,,,Coastal Maharashtra Mega Power Ltd.,Power Finance Corporation,4000,cancelled,,,,unknown,unknown,,Girye,,Sindhudurg,Southern Asia,Asia,South Asia,16.527161,73.326656,approximate,,,,,,8605,"96,100",53%,16.2,648.1,40
G103493,L102509,P101149,https://www.gem.wiki/GNDTP_Bathinda_power_station,India,Punjab state,Unit 1,GNDTP Bathinda power station,,Guru Nanak Dev power station,Punjab State Power Corp Ltd,PSPCL,110,retired,1974,2018,,subcritical,bituminous,,Bathinda,Bathinda,Bathinda,Southern Asia,Asia,South Asia,30.2338894,74.9244079,exact,,,,,,12618,"94,600",53%,0.6,0,0
G103494,L102509,P101149,https://www.gem.wiki/GNDTP_Bathinda_power_station,India,Punjab state,Unit 2,GNDTP Bathinda power station,,Guru Nanak Dev power station,Punjab State Power Corp Ltd,PSPCL,110,retired,1975,2018,,subcritical,bituminous,,Bathinda,Bathinda,Bathinda,Southern Asia,Asia,South Asia,30.2338894,74.9244079,exact,,,,,,12618,"94,600",53%,0.6,0,0
G103495,L102509,P101149,https://www.gem.wiki/GNDTP_Bathinda_power_station,India,Punjab state,Unit 3,GNDTP Bathinda power station,,Guru Nanak Dev power station,Punjab State Power Corp Ltd,PSPCL,120,retired,1978,2018,,subcritical,bituminous,,Bathinda,Bathinda,Bathinda,Southern Asia,Asia,South Asia,30.2338894,74.9244079,exact,,,,,,12618,"94,600",53%,0.7,0,0
G103496,L102509,P101149,https://www.gem.wiki/GNDTP_Bathinda_power_station,India,Punjab state,Unit 4,GNDTP Bathinda power station,,Guru Nanak Dev power station,Punjab State Power Corp Ltd,PSPCL,120,retired,1979,2018,,subcritical,bituminous,,Bathinda,Bathinda,Bathinda,Southern Asia,Asia,South Asia,30.2338894,74.9244079,exact,,,,,,12618,"94,600",53%,0.7,0,0
G103062,L102510,P100702,https://www.gem.wiki/Gobindpura_power_station,India,Punjab state,Unit 1,Gobindpura power station,,"Mansa project, Poena power",Poena power,Indiabulls Group,270,cancelled,,,,unknown,unknown,,Bhupal and Harsinghwala,Mansa,Mansa,Southern Asia,Asia,South Asia,30.719984,76.083426,approximate,TOR 6 Oct 2010 at http://bit.ly/1lcUcvK,,,,,10326,"96,100",53%,1.3,52.5,40
G103063,L102510,P100702,https://www.gem.wiki/Gobindpura_power_station,India,Punjab state,Unit 2,Gobindpura power station,,"Mansa project, Poena power",Poena power,Indiabulls Group,270,cancelled,,,,unknown,unknown,,Bhupal and Harsinghwala,Mansa,Mansa,Southern Asia,Asia,South Asia,30.719984,76.083426,approximate,TOR 6 Oct 2010 at http://bit.ly/1lcUcvK,,,,,10326,"96,100",53%,1.3,52.5,40
G103064,L102510,P100702,https://www.gem.wiki/Gobindpura_power_station,India,Punjab state,Unit 3,Gobindpura power station,,"Mansa project, Poena power",Poena power,Indiabulls Group,270,cancelled,,,,unknown,unknown,,Bhupal and Harsinghwala,Mansa,Mansa,Southern Asia,Asia,South Asia,30.719984,76.083426,approximate,TOR 6 Oct 2010 at http://bit.ly/1lcUcvK,,,,,10326,"96,100",53%,1.3,52.5,40
G103065,L102510,P100702,https://www.gem.wiki/Gobindpura_power_station,India,Punjab state,Unit 4,Gobindpura power station,,"Mansa project, Poena power",Poena power,Indiabulls Group,270,cancelled,,,,unknown,unknown,,Bhupal and Harsinghwala,Mansa,Mansa,Southern Asia,Asia,South Asia,30.719984,76.083426,approximate,TOR 6 Oct 2010 at http://bit.ly/1lcUcvK,,,,,10326,"96,100",53%,1.3,52.5,40
G103066,L102510,P100702,https://www.gem.wiki/Gobindpura_power_station,India,Punjab state,Unit 5,Gobindpura power station,,"Mansa project, Poena power",Poena power,Indiabulls Group,270,cancelled,,,,unknown,unknown,,Bhupal and Harsinghwala,Mansa,Mansa,Southern Asia,Asia,South Asia,30.719984,76.083426,approximate,TOR 6 Oct 2010 at http://bit.ly/1lcUcvK,,,,,10326,"96,100",53%,1.3,52.5,40
G103068,L102262,P100789,https://www.gem.wiki/Godda_Project,India,Jharkhand,Unit 1,Godda Project,,,Jindal Steel & Power Ltd,Jindal Group,660,cancelled,,,,supercritical,unknown,Jitpur Coal Block,Nipania,Sunder Pahari,Godda,Southern Asia,Asia,South Asia,24.82786,87.213676,approximate,EC 30 Mar 2012 at http://bit.ly/1bDtASx,,,,,8409,"96,100",53%,2.6,104.5,40
G103069,L102262,P100789,https://www.gem.wiki/Godda_Project,India,Jharkhand,Unit 2,Godda Project,,,Jindal Steel & Power Ltd,Jindal Group,660,cancelled,,,,supercritical,unknown,Jitpur Coal Block,Nipania,Sunder Pahari,Godda,Southern Asia,Asia,South Asia,24.82786,87.213676,approximate,EC 30 Mar 2012 at http://bit.ly/1bDtASx,,,,,8409,"96,100",53%,2.6,104.5,40
G103070,L102145,Q200079,https://www.gem.wiki/Godhna_power_station,India,Chhattisgarh,Phase I Unit 1,Godhna power station,,Janjgir power station,"Karnataka Power Corp Ltd, NTPC Ltd","KPCL, NTPC",800,cancelled,,,,supercritical,unknown,"West Bengal, India",Godhna,,Janjgir,Southern Asia,Asia,South Asia,21.826445,82.604828,approximate,ToR 20 July 2009 at http://bit.ly/1N0scLO,,,,,8409,"96,100",53%,3.2,126.7,40
G103071,L102145,Q200079,https://www.gem.wiki/Godhna_power_station,India,Chhattisgarh,Phase I Unit 2,Godhna power station,,Janjgir power station,"Karnataka Power Corp Ltd, NTPC Ltd","KPCL, NTPC",800,cancelled,,,,supercritical,unknown,"West Bengal, India",Godhna,,Janjgir,Southern Asia,Asia,South Asia,21.826445,82.604828,approximate,ToR 20 July 2009 at http://bit.ly/1N0scLO,,,,,8409,"96,100",53%,3.2,126.7,40
G103072,L102145,Q200079,https://www.gem.wiki/Godhna_power_station,India,Chhattisgarh,Phase II Unit 1,Godhna power station,,Janjgir power station,"Karnataka Power Corp Ltd, NTPC Ltd","KPCL, NTPC",800,cancelled,,,,unknown,unknown,"West Bengal, India",Godhna,,Janjgir,Southern Asia,Asia,South Asia,21.826445,82.604828,approximate,,,,,,8605,"96,100",53%,3.2,129.6,40
G103073,L102511,P100608,https://www.gem.wiki/Goindwal_Sahib_Thermal_Power_Plant,India,Punjab state,Unit 1,Goindwal Sahib Thermal Power Plant,,,GVK,GVK,270,operating,2016,,,subcritical,unknown,,Goindwal Sahib,Khadur Sahib,Taran Taran,Southern Asia,Asia,South Asia,31.3841396,75.1465032,exact,EC 9 May 2008 at http://bit.ly/1lcQen0; EC amend and ext 19 Feb 2014 at http://bit.ly/1lcQylu,,,,,10442,"96,100",53%,1.3,45.1,34
G103074,L102511,P100608,https://www.gem.wiki/Goindwal_Sahib_Thermal_Power_Plant,India,Punjab state,Unit 2,Goindwal Sahib Thermal Power Plant,,,GVK,GVK,270,operating,2016,,,subcritical,unknown,,Goindwal Sahib,Khadur Sahib,Taran Taran,Southern Asia,Asia,South Asia,31.3841396,75.1465032,exact,EC 9 May 2008 at http://bit.ly/1lcQen0; EC amend and ext 19 Feb 2014 at http://bit.ly/1lcQylu,,,,,10442,"96,100",53%,1.3,45.1,34
G103075,L102511,P100608,https://www.gem.wiki/Goindwal_Sahib_Thermal_Power_Plant,India,Punjab state,Unit 3,Goindwal Sahib Thermal Power Plant,,,GVK,GVK,660,cancelled,,,,supercritical,unknown,,Goindwal Sahib,Khadur Sahib,Taran Taran,Southern Asia,Asia,South Asia,31.3841396,75.1465032,exact,TOR 26 July 2011 at http://bit.ly/1lcQYbK; EIA at http://bit.ly/1lcRhmN,,,,,8409,"96,100",53%,2.6,104.5,40
G103076,L102511,P100608,https://www.gem.wiki/Goindwal_Sahib_Thermal_Power_Plant,India,Punjab state,Unit 4,Goindwal Sahib Thermal Power Plant,,,GVK,GVK,660,cancelled,,,,supercritical,unknown,,Goindwal Sahib,Khadur Sahib,Taran Taran,Southern Asia,Asia,South Asia,31.3841396,75.1465032,exact,TOR 26 July 2011 at http://bit.ly/1lcQYbK; EIA at http://bit.ly/1lcRhmN,,,,,8409,"96,100",53%,2.6,104.5,40
G103077,L102263,P100713,https://www.gem.wiki/Gola_power_station,India,Jharkhand,Unit 1,Gola power station,,,Inland Power,Inland Group,63,operating,2014,,,cfb,unknown,domestic washery rejects,Tonagatu,Gola,Ramgarh,Southern Asia,Asia,South Asia,23.48362,85.657485,exact,EC 20 Dec 2011 at http://bit.ly/1bDv7Ii,,,,,10442,"96,100",53%,0.3,9.9,32
G103078,L102263,P100713,https://www.gem.wiki/Gola_power_station,India,Jharkhand,Unit 2,Gola power station,,,Inland Power,Inland Group,63,cancelled,,,,cfb,unknown,domestic washery rejects,Tonagatu,Gola,Ramgarh,Southern Asia,Asia,South Asia,23.48362,85.657485,exact,EC 20 Dec 2011 at http://bit.ly/1bDv7Ii,,,,,10442,"96,100",53%,0.3,12.4,40
G103085,L102629,Q200286,https://www.gem.wiki/Gonda_power_station,India,Uttar Pradesh,Unit 1,Gonda power station,,,"NMDC Power, IL&FS Energy Development Company","IL&FS, NMDC Limited",250,cancelled,,,,unknown,unknown,,Turkadih,Mankapur,Gonda,Southern Asia,Asia,South Asia,27.03,82.23,approximate,TOR 17 Jan 2014 at http://bit.ly/UpM7NB,other metals & mining,power,,,10326,"96,100",53%,1.2,48.6,40
G103086,L102629,Q200286,https://www.gem.wiki/Gonda_power_station,India,Uttar Pradesh,Unit 2,Gonda power station,,,"NMDC Power, IL&FS Energy Development Company","IL&FS, NMDC Limited",250,cancelled,,,,unknown,unknown,,Turkadih,Mankapur,Gonda,Southern Asia,Asia,South Asia,27.03,82.23,approximate,TOR 17 Jan 2014 at http://bit.ly/UpM7NB,other metals & mining,power,,,10326,"96,100",53%,1.2,48.6,40
G103095,L102041,P100978,"https://www.gem.wiki/Gopuvanipalam_Mega_Thermal_Power_Project_(Chinnapuram,_Machilipatnam)",India,Andhra Pradesh,,"Gopuvanipalam Mega Thermal Power Project (Chinnapuram, Machilipatnam)",,,NCC Power Projects Limited,Nagarjuna Construction Company,1980,cancelled,,,,supercritical,unknown,"70% Indian, 30% imported","Chinnapuram, Machilipatnam",,Krishna,Southern Asia,Asia,South Asia,16.18438,81.134933,approximate,TOR 13 Aug 2009 at http://bit.ly/1joHmxt,,,,,8409,"96,100",53%,7.8,313.5,40
G103101,L102336,P100333,https://www.gem.wiki/Gorgi_power_station,India,Madhya Pradesh,Unit 1,Gorgi power station,,,DB Power,Dainik Bhaskar Group,660,cancelled,,,,supercritical,unknown,Indonesia,Gorgi,Deosar,Singrauli,Southern Asia,Asia,South Asia,24.116667,81.933333,exact,EC 9 Sept 2010 at http://bit.ly/1i714tx,,,,,8409,"96,100",53%,2.6,104.5,40
G103102,L102336,P100333,https://www.gem.wiki/Gorgi_power_station,India,Madhya Pradesh,Unit 2,Gorgi power station,,,DB Power,Dainik Bhaskar Group,660,cancelled,,,,supercritical,unknown,Indonesia,Gorgi,Deosar,Singrauli,Southern Asia,Asia,South Asia,24.116667,81.933333,exact,TOR 20 April 2011 at http://bit.ly/1cEfSSC (not included in EC),,,,,8409,"96,100",53%,2.6,104.5,40
